gene_id,gene_symbol,log2fc,pvalue,padj
b2601,aroF,-3.784,,
b1264,trpE,-3.518,,
b1263,trpD,-3.196,,
b0032,carA,2.969,,
b3870,glnA,2.89,,
b1287,yciW,2.887,,
b0273,argF,2.809,,
b2600,tyrA,-2.791,,
b4254,argI,2.697,,
b0860,artJ,2.66,,
b3172,argG,2.656,,
b0033,carB,2.465,,
b3960,argH,2.445,,
b3917,sbp,2.4,,
b1262,trpC,-2.312,,
b2752,cysD,2.287,,
b3959,argB,2.256,,
b2751,cysN,2.25,,
b0812,dps,-2.224,,
b3958,argC,2.191,,
b2818,argA,2.15,,
b0114,aceE,2.106,,
b2425,cysP,2.087,,
b3957,argE,2.042,,
b2764,cysJ,2.036,,
b1920,fliY,2.02,,
b1109,ndh,1.973,,
b1261,trpB,-1.947,,
b2762,cysH,1.93,,
b2422,cysA,1.916,,
b0450,glnK,1.899,,
b3868,glnG,1.879,,
b4245,pyrB,1.871,,
b2763,cysI,1.827,,
b2153,folE,1.81,,
b1004,wrbA,-1.8,,
b3510,hdeA,-1.734,,
b3720,bglH,1.716,,
b2080,yegP,-1.704,,
b1493,gadB,-1.696,,
b2424,cysU,1.692,,
b0897,ycaC,-1.642,,
b0584,fepA,1.639,,
b1729,ydjN,1.635,,
b3869,glnL,1.617,,
b1051,msyB,-1.612,,
b3359,argD,1.604,,
b0811,glnH,1.577,,
b2421,cysM,1.566,,
b1062,pyrC,1.555,,
b0023,rpsT,1.552,,
b3941,metF,1.551,,
b1260,trpA,-1.548,,
b3433,asd,1.537,,
b4243,yjgF,1.523,,
b1243,oppA,1.522,,
b0829,gsiA,-1.52,,
b1286,rnb,1.516,,
b2498,upp,1.515,,
b3555,yiaG,-1.506,,
b2750,cysC,1.505,,
b3517,gadA,-1.5,,
b0115,aceF,1.499,,
b2679,proX,1.498,,
b2013,yeeE,1.481,,
b3544,dppA,1.477,,
b3212,gltB,1.466,,
b4200,rpsF,1.436,,
b2905,gcvT,1.435,,
b2423,cysW,1.425,,
b1691,ydiN,-1.42,,
b2309,hisJ,1.417,,
b3509,hdeB,-1.412,,
b3512,gadE,-1.396,,
b0572,cusC,-1.391,,
b2903,gcvP,1.389,,
b4201,priB,1.381,,
b2012,yeeD,1.372,,
b1971,yedY,-1.367,,
b3661,nlpA,1.366,,
b3645,dinD,-1.364,,
b0388,aroL,-1.361,,
b1456,rhsE,1.352,,
b0002,thrA,1.347,,
b2497,uraA,1.347,,
b2465,tktB,-1.345,,
b3829,metE,1.345,,
b1246,oppD,1.344,,
b0953,rmf,-1.339,,
b3164,pnp,1.333,,
b2464,talA,-1.33,,
b0754,aroG,1.325,,
b1772,ydjH,-1.324,,
b0169,rpsB,1.314,,
b1836,yebV,-1.306,,
b1050,yceK,-1.299,,
b2095,gatZ,1.294,,
b0003,thrB,1.286,,
b1505,ydeT,-1.281,,
b2312,purF,1.276,,
b0336,codB,1.273,,
b2665,ygaU,-1.266,,
b0194,proS,1.264,,
b3261,fis,1.262,,
b0830,gsiB,1.252,,
b0711,ybgJ,-1.241,,
b1981,shiA,1.24,,
b4187,aidB,-1.239,,
b4244,pyrI,1.235,,
b2323,fabB,-1.23,,
b1497,ydeM,-1.229,,
b1758,ynjF,-1.228,,
b3871,typA,1.222,,
b0197,metQ,1.219,,
b0431,cyoB,1.198,,
b2507,guaA,1.195,,
b0126,can,1.194,,
b3306,rpsH,1.189,,
b4279,yjhB,1.186,,
b3089,sstT,1.182,,
b3807,cyaY,-1.173,,
b1967,hchA,-1.17,,
b2210,mqo,1.169,,
b0474,adk,1.168,,
b3774,ilvC,1.168,,
b1674,ydhY,-1.166,,
b2607,trmD,1.164,,
b2094,gatA,1.162,,
b2942,metK,1.156,,
b3225,nanA,1.153,,
