gene_id,gene_symbol,log2fc,pvalue,padj
b2094,gatA,-5.514,,
b2095,gatZ,-4.685,,
b2092,gatC,-4.278,,
b2091,gatD,-4.203,,
b2096,gatY,-3.946,,
b4070,nrfA,-3.768,,
b4062,soxS,3.746,,
b1817,manX,-3.664,,
b1256,ompW,-3.613,,
b0430,cyoC,3.544,,
b3365,nirB,-3.538,,
b2531,iscR,3.337,,
b1750,ydjX,-3.312,,
b3366,nirD,-3.272,,
b0431,cyoB,3.192,,
b1298,puuD,3.189,,
b4380,yjjI,-3.16,,
b3945,gldA,-3.126,,
b0721,sdhC,3.125,,
b2210,mqo,3.112,,
b1818,manY,-3.112,,
b3917,sbp,3.028,,
b0972,hyaA,-2.963,,
b1297,puuA,2.961,,
b0429,cyoD,2.959,,
b4153,frdB,-2.956,,
b1224,narG,-2.953,,
b2726,hypA,-2.924,,
b2168,fruK,-2.916,,
b1888,cheA,2.863,,
b0432,cyoA,2.856,,
b2530,iscS,2.797,,
b0114,aceE,2.785,,
b1751,ydjY,-2.734,,
b0034,caiF,-2.732,,
b3708,tnaA,-2.729,,
b2518,ndk,2.727,,
b0428,cyoE,2.704,,
b2093,gatB,-2.665,,
b0115,aceF,2.619,,
b1136,icd,2.618,,
b1226,narJ,-2.613,,
b4334,yjiL,-2.563,,
b2582,trxC,2.541,,
b0724,sdhB,2.534,,
b2175,spr,-2.534,,
b4030,psiE,2.53,,
b2727,hypB,-2.527,,
b2119,yehL,-2.525,,
b1112,bhsA,2.448,,
b2439,eutL,-2.445,,
b2225,yfaP,2.42,,
b4240,treB,-2.366,,
b1172,ymgG,-2.36,,
b4071,nrfB,-2.359,,
b1189,dadA,2.35,,
b3829,metE,2.349,,
b3367,nirC,-2.347,,
b2529,iscU,2.338,,
b0164,yaeI,2.333,,
b0975,hyaD,-2.327,,
b4354,yjiY,-2.325,,
b2995,hybB,-2.32,,
b0113,pdhR,2.317,,
b0973,hyaB,-2.314,,
b1109,ndh,2.313,,
b0116,lpd,2.303,,
b4034,malE,-2.29,,
b4307,yjhQ,-2.286,,
b1593,ynfK,-2.253,,
b0720,gltA,2.237,,
b3418,malT,-2.209,,
b4151,frdD,-2.208,,
b3820,yigI,2.198,,
b0605,ahpC,2.197,,
b2181,yejG,2.179,,
b3908,sodA,2.15,,
b3916,pfkA,-2.149,,
b1197,treA,2.145,,
b3774,ilvC,-2.136,,
b1891,flhC,-2.136,,
b0722,sdhD,2.112,,
b0580,ybdJ,2.089,,
b4376,osmY,2.087,,
b1892,flhD,-2.085,,
b0848,ybjM,-2.083,,
b0319,yahE,2.083,,
b2997,hybO,-2.06,,
b0651,rihA,-2.059,,
b0904,focA,-2.044,,
b2186,yejK,-2.042,,
b1301,puuB,2.011,,
b0974,hyaC,-2.009,,
b4033,malF,-2.002,,
b4073,nrfD,-1.998,,
b1376,uspF,-1.996,,
b1198,dhaM,-1.994,,
b1395,paaH,-1.985,,
b3603,lldP,1.977,,
b2728,hypC,-1.969,,
b1528,ydeA,1.96,,
b2118,yehI,-1.945,,
b0044,fixX,1.943,,
b0397,sbcC,1.942,,
b4254,argI,1.937,,
b0723,sdhA,1.925,,
b1819,manZ,-1.924,,
b1212,prmC,1.921,,
b0453,ybaY,1.907,,
b2287,nuoB,-1.905,,
b3939,metB,1.895,,
b1215,kdsA,-1.884,,
b2414,cysK,-1.875,,
b0588,fepC,-1.873,,
b1164,ycgZ,1.873,,
b0727,sucB,1.865,,
b2043,wcaM,-1.864,,
b1372,stfR,-1.862,,
b3407,yhgF,1.862,,
b3450,ugpC,1.862,,
b0404,acpH,1.857,,
b2108,yehA,1.853,,
b4152,frdC,-1.849,,
b1541,ydfZ,-1.848,,
b2992,hybE,-1.846,,
b1684,sufA,1.845,,
b0437,clpP,-1.841,,
b1200,dhaK,-1.838,,
b2302,yfcG,1.828,,
b4032,malG,-1.826,,
b1111,ycfQ,1.821,,
b4217,ytfK,1.821,,
b1113,ycfS,1.817,,
b3605,lldD,1.817,,
b3236,mdh,1.814,,
b0351,mhpF,1.812,,
b2169,fruB,-1.801,,
b0240,crl,1.801,,
b1241,adhE,-1.795,,
b0836,bssR,-1.795,,
b3744,asnA,-1.794,,
b1201,dhaR,-1.79,,
b4335,yjiM,-1.79,,
b0849,grxA,1.781,,
b1390,paaC,1.77,,
b2725,hycA,-1.763,,
b2730,hypE,-1.761,,
b2146,yeiT,-1.759,,
b2342,fadI,1.758,,
b3159,yhbV,-1.755,,
b3918,cdh,1.746,,
b1101,ptsG,-1.743,,
b1302,puuE,1.743,,
b3397,nudE,1.728,,
b3209,elbB,-1.724,,
b0375,yaiV,-1.722,,
b1422,ydcI,1.713,,
b2243,glpC,1.707,,
b4306,yjhP,-1.705,,
b1190,dadX,1.703,,
b2528,iscA,1.699,,
b1057,yceJ,1.695,,
b0726,sucA,1.688,,
b1673,ydhV,-1.687,,
b3327,gspF,1.686,,
b4037,malM,-1.683,,
b1300,puuC,1.682,,
b3120,yhaB,1.671,,
b3831,udp,1.669,,
b0459,maa,-1.669,,
b1700,ydiT,1.664,,
b3819,rarD,1.655,,
b1588,ynfF,-1.65,,
b3406,greB,1.644,,
b1753,ynjA,-1.634,,
b2206,napA,1.627,,
b1779,gapA,-1.623,,
b0118,acnB,1.622,,
b3926,glpK,-1.619,,
b2497,uraA,1.619,,
b4321,gntP,1.617,,
b0772,ybhC,-1.614,,
b1757,ynjE,-1.614,,
b0577,ybdG,-1.613,,
b0728,sucC,1.613,,
b1976,mtfA,-1.605,,
b0058,rluA,1.601,,
b2659,csiD,1.6,,
b2696,csrA,1.599,,
b4205,ytfA,1.595,,
b2301,yfcF,1.58,,
b1778,msrB,1.578,,
b2994,hybC,-1.576,,
b3769,ilvM,-1.575,,
b1336,abgT,1.575,,
b2364,dsdC,-1.573,,
b3828,metR,1.571,,
b2410,yfeH,1.568,,
b4239,treC,-1.565,,
b0880,cspD,-1.556,,
b1987,cbl,1.553,,
b3693,dgoK,1.55,,
b0782,moaB,-1.549,,
b1873,torY,-1.544,,
b1758,ynjF,1.538,,
b0914,msbA,1.534,,
b1445,ydcX,1.534,,
b4098,phnJ,-1.532,,
b1332,ynaJ,1.531,,
b2053,gmd,1.53,,
b3906,rhaR,1.527,,
b2587,kgtP,1.516,,
b3664,yicO,1.514,,
b2014,yeeF,1.514,,
b0124,gcd,1.514,,
b2527,hscB,1.51,,
b3941,metF,1.499,,
b3527,yhjJ,1.498,,
b0621,dcuC,-1.496,,
b1225,narH,-1.493,,
b1006,rutG,1.49,,
b4111,proP,1.489,,
b0140,ecpD,1.483,,
b2996,hybA,-1.481,,
b1883,cheB,-1.481,,
b0729,sucD,1.48,,
b0781,moaA,-1.479,,
b4340,yjiR,1.476,,
b1083,flgL,-1.468,,
b3091,uxaA,1.466,,
b1885,tap,1.463,,
b2415,ptsH,-1.46,,
b1887,cheW,1.46,,
b3257,yhdT,1.459,,
b4068,yjcH,1.458,,
