gene_id,gene_symbol,log2fc,pvalue,padj
b3686,ibpB,6.396,,
b1060,bssS,6.302,,
b4140,fxsA,6.235,,
b3687,ibpA,5.708,,
b1009,rutD,-5.613,,
b1829,htpX,5.585,,
b2345,yfdF,5.406,,
b0400,phoR,5.314,,
b0210,yafE,5.267,,
b0879,macB,4.923,,
b3595,yibJ,4.82,,
b0691,ybfG,4.645,,
b0473,htpG,4.496,,
b1280,yciM,4.47,,
b3594,yibA,4.299,,
b0596,entA,-4.263,,
b1443,ydcV,-4.233,,
b0597,entH,-4.173,,
b0866,ybjQ,-4.136,,
b0399,phoB,4.128,,
b0016,insL,4.103,,
b2592,clpB,4.058,,
b2614,grpE,3.988,,
b3292,zntR,3.981,,
b2113,mrp,-3.923,,
b2108,yehA,3.917,,
b2796,sdaC,3.843,,
b1814,sdaA,3.823,,
b0828,iaaA,-3.782,,
b1012,rutA,-3.756,,
b0162,cdaR,3.754,,
b2236,yfaE,-3.739,,
b1011,rutB,-3.732,,
b1380,ldhA,3.655,,
b3400,hslR,3.644,,
b1680,sufS,-3.625,,
b1243,oppA,-3.596,,
b2193,narP,3.561,,
b1773,ydjI,3.56,,
b1988,nac,-3.526,,
b0161,degP,3.515,,
b4143,groL,3.511,,
b3685,yidE,3.503,,
b4312,fimB,3.5,,
b2617,smpA,3.485,,
b1279,yciS,3.472,,
b2159,nfo,-3.471,,
b1908,yecA,-3.467,,
b3511,hdeD,-3.457,,
b1282,yciH,3.422,,
b0439,lon,3.401,,
b0966,hspQ,3.385,,
b1308,pspE,3.379,,
b1321,ycjX,3.357,,
b0607,uspG,3.345,,
b1306,pspC,3.307,,
b1281,pyrF,3.306,,
b4014,aceB,-3.305,,
b2570,rseC,3.286,,
b1007,rutF,-3.283,,
b2023,hisH,-3.27,,
b3556,cspA,-3.239,,
b3510,hdeA,-3.224,,
b2020,hisD,-3.209,,
b1022,pgaC,3.191,,
b0855,potG,-3.175,,
b0209,yafD,3.17,,
b3293,yhdN,3.167,,
b0154,hemL,-3.149,,
b0586,entF,3.137,,
b1765,ydjA,-3.13,,
b1743,spy,3.122,,
b1679,sufE,-3.121,,
b3401,hslO,3.121,,
b3408,feoA,-3.096,,
b2659,csiD,-3.079,,
b4395,ytjC,-3.078,,
b3343,yheL,3.078,,
b2795,ygdH,-3.057,,
b3908,sodA,-3.041,,
b2415,ptsH,-3.041,,
b2661,gabD,-2.999,,
b3508,yhiD,-2.998,,
b2568,lepB,2.989,,
b2662,gabT,-2.989,,
b0631,ybeD,2.984,,
b1379,hslJ,2.976,,
b0431,cyoB,-2.967,,
b2675,nrdE,-2.966,,
b3509,hdeB,-2.964,,
b1008,rutE,-2.96,,
b4311,nanC,2.957,,
b2707,srlR,-2.943,,
b0904,focA,-2.937,,
b2896,ygfX,-2.933,,
b3021,ygiT,2.928,,
b1685,ydiH,-2.921,,
b1021,pgaD,2.92,,
b2065,dcd,-2.897,,
b0277,yagK,2.882,,
b2224,atoB,2.881,,
b0450,glnK,-2.869,,
b0871,poxB,-2.867,,
b1322,ycjF,2.865,,
b2128,yehW,-2.859,,
b0429,cyoD,-2.859,,
b1000,cbpA,-2.845,,
b4050,pspG,2.845,,
b3055,ygiM,2.833,,
b2926,pgk,-2.822,,
b2569,lepA,2.818,,
b0706,ybfD,2.815,,
b0324,yahJ,-2.811,,
b2390,ypeC,-2.81,,
b4381,deoC,-2.808,,
b0979,appB,-2.803,,
b1872,torZ,2.797,,
b2991,hybF,-2.792,,
b2908,pepP,-2.789,,
b1440,ydcS,-2.781,,
b2183,rsuA,-2.779,,
b0278,yagL,2.775,,
b1873,torY,2.769,,
b4141,yjeH,2.766,,
b2571,rseB,2.764,,
b2280,nuoJ,-2.761,,
b0781,moaA,-2.759,,
b0486,ybaT,-2.757,,
b1683,sufB,-2.746,,
b1293,sapB,-2.727,,
b1661,cfa,-2.726,,
b4015,aceA,-2.725,,
b0776,bioF,-2.717,,
b1535,ydeH,2.71,,
b2631,yfjO,2.708,,
b0015,dnaJ,2.707,,
b4212,ytfH,2.698,,
b0559,ybcW,2.695,,
b1182,hlyE,2.693,,
b0036,caiD,-2.691,,
b0485,ybaS,-2.687,,
b1487,ddpA,-2.686,,
b0014,dnaK,2.673,,
b0312,betB,-2.671,,
b3461,rpoH,2.664,,
b1086,rluC,-2.658,,
b3347,fkpA,2.658,,
b2671,ygaC,2.652,,
b0657,lnt,2.65,,
b2784,relA,-2.645,,
b4056,yjbQ,-2.641,,
b0852,rimK,-2.628,,
b2935,tktA,-2.615,,
b3847,pepQ,-2.611,,
b2958,yggN,2.609,,
b3279,yrdA,2.602,,
b1608,rstA,-2.596,,
b2371,yfdE,2.593,,
b2278,nuoL,-2.586,,
b2216,rcsD,-2.585,,
b2828,lgt,-2.575,,
b4142,groS,2.568,,
b3931,hslU,2.558,,
b0492,ybbN,2.556,,
b3593,rhsA,2.544,,
b1824,yobF,-2.539,,
b4249,yjgI,2.535,,
b3513,mdtE,-2.533,,
b2252,ais,2.527,,
b0533,sfmH,2.52,,
b2757,casD,2.517,,
b0435,bolA,2.513,,
b1307,pspD,2.511,,
b0437,clpP,2.51,,
b1084,rne,-2.509,,
b1442,ydcU,-2.508,,
b1010,rutC,-2.507,,
b2535,csiE,-2.506,,
b2728,hypC,-2.5,,
b0705,ybfL,2.496,,
b1484,ddpD,-2.494,,
b2420,yfeS,2.483,,
b1222,narX,-2.476,,
b3369,yhfL,2.475,,
b2378,lpxP,2.471,,
b0595,entB,-2.468,,
b0051,rsmA,-2.459,,
b2660,lhgO,-2.444,,
b1376,uspF,2.444,,
b1167,ymgC,-2.443,,
b3515,gadW,-2.443,,
b4018,iclR,-2.44,,
b1836,yebV,-2.433,,
b0959,sxy,2.433,,
b0903,pflB,-2.424,,
b3067,rpoD,2.422,,
b3484,yhhI,2.413,,
b2451,eutA,-2.413,,
b2742,nlpD,-2.411,,
b4397,creA,2.408,,
b1501,ydeP,2.394,,
b3998,nfi,-2.393,,
b0901,ycaK,2.389,,
b3160,yhbW,-2.386,,
b1807,yeaZ,-2.386,,
b3498,prlC,2.385,,
b3252,csrD,2.381,,
b1045,ymdB,-2.38,,
b2083,yegZ,2.375,,
b2095,gatZ,-2.373,,
b1557,cspB,-2.371,,
b3409,feoB,-2.365,,
b1774,ydjJ,2.362,,
b1485,ddpC,-2.34,,
b0218,yafU,2.339,,
b0487,cueR,-2.329,,
b1257,yciE,2.327,,
b0826,moeB,-2.32,,
b1684,sufA,-2.315,,
b2082,ogrK,2.305,,
b2957,ansB,2.3,,
b1087,yceF,-2.298,,
b3635,mutM,2.297,,
b0315,yahA,2.294,,
b4375,prfC,-2.291,,
b1274,topA,2.287,,
b1874,cutC,2.284,,
b2448,yffQ,2.282,,
b4248,yjgH,2.28,,
b3178,ftsH,2.27,,
b0767,pgl,-2.265,,
b3738,atpB,-2.264,,
b1207,prs,-2.25,,
b3073,patA,-2.246,,
b4026,yjbE,-2.242,,
b3175,secG,2.24,,
b0279,yagM,2.238,,
b2310,argT,-2.237,,
b1531,marA,2.233,,
b4123,dcuB,-2.232,,
b3619,rfaD,-2.232,,
b1006,rutG,-2.231,,
b1633,nth,-2.231,,
b2547,yphE,2.229,,
b1430,tehB,-2.219,,
b3308,rplE,-2.219,,
b1232,purU,-2.216,,
b1112,bhsA,2.207,,
b0415,ribE,2.206,,
b0368,tauD,2.191,,
b3295,rpoA,-2.187,,
b0782,moaB,-2.182,,
b2286,nuoC,-2.182,,
b3506,slp,-2.181,,
b3909,kdgT,2.18,,
b0590,fepD,-2.177,,
b4199,yjfY,2.173,,
b2939,yqgB,-2.166,,
b3020,ygiS,2.161,,
b0777,bioC,-2.161,,
b3163,nlpI,-2.16,,
b3049,glgS,2.15,,
b2419,yfeK,2.149,,
b2573,rpoE,2.149,,
b3956,ppc,-2.147,,
b0697,kdpB,-2.142,,
b4104,phnE,-2.138,,
b1451,yncD,2.138,,
b2663,gabP,-2.137,,
b4187,aidB,-2.136,,
b2515,ispG,-2.124,,
b3546,eptB,2.123,,
b2096,gatY,-2.122,,
b2094,gatA,-2.12,,
b3299,rpmJ,-2.119,,
b3296,rpsD,-2.116,,
b1117,lolD,-2.116,,
b1304,pspA,2.114,,
b4399,creC,2.114,,
b0534,sfmF,2.106,,
b3297,rpsK,-2.106,,
b2510,yfgJ,2.1,,
b1464,yddE,-2.1,,
b2479,gcvR,-2.1,,
b0711,ybgJ,-2.099,,
b2648,pinH,2.097,,
b3966,btuB,2.088,,
b3348,slyX,2.075,,
b3035,tolC,-2.072,,
b3177,folP,2.069,,
b3298,rpsM,-2.063,,
b3562,yiaA,2.063,,
b3992,thiF,-2.061,,
b0872,hcr,-2.061,,
b0719,ybgD,2.051,,
b0239,frsA,-2.05,,
b3179,rlmE,2.048,,
b1767,ansA,-2.047,,
b1615,uidC,2.043,,
b4292,fecR,-2.041,,
b1784,yeaH,-2.04,,
b2001,yeeR,2.027,,
b2674,nrdI,-2.027,,
b3491,yhiM,-2.025,,
b0451,amtB,-2.023,,
b2340,sixA,2.022,,
b3188,sfsB,2.022,,
b4398,creB,2.014,,
b0863,artI,-2.014,,
b3651,trmH,-2.014,,
b2109,yehB,2.013,,
b1653,lhr,-2.007,,
b0232,yafN,-2.005,,
b3553,ghrB,-2.003,,
b4057,yjbR,-2.002,,
b0438,clpX,2.002,,
b3960,argH,2.0,,
b3532,bcsB,2.0,,
b1026,insF,1.999,,
b1136,icd,-1.999,,
b0882,clpA,1.999,,
b0622,pagP,1.994,,
b0907,serC,-1.992,,
b3723,bglG,1.99,,
b3051,yqiK,1.989,,
b3669,uhpA,-1.987,,
b3339,tufA,-1.983,,
b3147,yraM,-1.981,,
b0065,yabI,1.976,,
b2579,yfiD,-1.973,,
b0834,yliF,1.972,,
b1463,nhoA,-1.971,,
b0784,moaD,-1.969,,
b3066,dnaG,1.967,,
b1978,yeeJ,1.966,,
b2061,wzb,1.966,,
b1987,cbl,-1.964,,
b3964,yijD,1.963,,
b0020,nhaR,1.962,,
b2418,pdxK,-1.962,,
b0345,lacI,-1.958,,
b3733,atpG,-1.957,,
b3414,nfuA,1.956,,
b3130,yhaV,1.956,,
b0469,apt,-1.953,,
b4299,yjhI,1.952,,
b1324,tpx,-1.951,,
b3306,rpsH,-1.949,,
b2505,yfgH,1.948,,
b2373,oxc,1.944,,
b4307,yjhQ,-1.944,,
b0121,speE,-1.94,,
b2283,nuoG,-1.939,,
b1681,sufD,-1.937,,
b2285,nuoE,-1.936,,
b1823,cspC,-1.936,,
b4215,ytfI,1.932,,
b4377,yjjU,-1.932,,
b0382,iraP,1.927,,
b3310,rplN,-1.924,,
b2206,napA,-1.923,,
b1305,pspB,1.922,,
b3361,fic,-1.918,,
b1244,oppB,-1.917,,
b2669,stpA,1.914,,
b2625,yfjI,1.913,,
b1245,oppC,-1.908,,
b3917,sbp,1.908,,
b2309,hisJ,-1.907,,
b2492,focB,1.904,,
