gene_id,gene_symbol,log2fc,pvalue,padj
b1973,yodA,4.577,,
b4244,pyrI,-3.923,,
b4245,pyrB,-3.508,,
b2616,recN,3.409,,
b2497,uraA,-3.239,,
b0958,sulA,3.054,,
b4243,yjgF,-2.977,,
b1683,sufB,2.805,,
b1857,znuA,2.763,,
b0296,ykgM,2.739,,
b0336,codB,-2.692,,
b1856,yebA,2.625,,
b0337,codA,-2.603,,
b4367,fhuF,2.599,,
b2673,nrdH,2.519,,
b0584,fepA,2.454,,
b1848,yebG,2.391,,
b1681,sufD,2.365,,
b1184,umuC,2.351,,
b3012,dkgA,2.248,,
b3510,hdeA,2.2,,
b0585,fes,2.191,,
b1684,sufA,2.178,,
b0595,entB,2.13,,
b1178,ycgK,2.129,,
b1493,gadB,2.093,,
b1452,yncE,2.075,,
b2699,recA,2.058,,
b1656,sodB,-2.053,,
b4293,fecI,2.032,,
b2093,gatB,-2.023,,
b3555,yiaG,2.014,,
b0565,ompT,-1.988,,
b0722,sdhD,-1.984,,
b0033,carB,-1.976,,
b0032,carA,-1.97,,
b4382,deoA,1.944,,
b4381,deoC,1.93,,
b3894,fdoG,-1.919,,
b2392,mntH,1.888,,
b1680,sufS,1.865,,
b4058,uvrA,1.86,,
b0723,sdhA,-1.859,,
b1761,gdhA,-1.84,,
b2674,nrdI,1.823,,
b0586,entF,1.815,,
b0593,entC,1.8,,
b0897,ycaC,1.8,,
b4043,lexA,1.792,,
b1237,hns,-1.781,,
b0594,entE,1.774,,
b2235,nrdB,1.773,,
b2094,gatA,-1.741,,
b1482,osmC,1.735,,
b3908,sodA,1.705,,
b0812,dps,1.694,,
b2095,gatZ,-1.681,,
b1252,tonB,1.68,,
b1183,umuD,1.663,,
b2465,tktB,1.661,,
b1062,pyrC,-1.641,,
b1061,dinI,1.612,,
b1244,oppB,-1.611,,
b3005,exbD,1.593,,
b0721,sdhC,-1.591,,
b1783,yeaG,1.576,,
b1246,oppD,-1.574,,
b3006,exbB,1.564,,
b3553,ghrB,1.544,,
b3011,yqhD,1.535,,
b4384,deoD,1.518,,
b1682,sufC,1.482,,
b2096,gatY,-1.471,,
b1679,sufE,1.452,,
b2665,ygaU,1.452,,
b2092,gatC,-1.439,,
b1004,wrbA,1.414,,
b1646,sodC,1.413,,
b1258,yciF,1.411,,
b3645,dinD,1.385,,
b3511,hdeD,1.371,,
b2091,gatD,-1.37,,
b0597,entH,1.359,,
b1741,cho,1.334,,
b1064,grxB,1.324,,
b1051,msyB,1.32,,
b1817,manX,-1.305,,
b0892,rarA,1.268,,
b1897,otsB,1.264,,
b0118,acnB,-1.26,,
b1245,oppC,-1.25,,
b1480,sra,1.237,,
b1896,otsA,1.237,,
b4383,deoB,1.233,,
b0945,pyrD,-1.229,,
b1102,fhuE,1.228,,
b0411,tsx,-1.219,,
b1981,shiA,1.215,,
b2676,nrdF,1.214,,
b1479,maeA,-1.207,,
b0592,fepB,1.2,,
b4069,acs,-1.199,,
b2464,talA,1.19,,
b2009,sbmC,1.189,,
b1164,ycgZ,1.184,,
b1724,ydiZ,1.17,,
b1492,gadC,1.16,,
b1243,oppA,-1.152,,
b1283,osmB,1.148,,
b0631,ybeD,1.147,,
b3418,malT,-1.14,,
b0881,clpS,1.125,,
b2672,ygaM,1.119,,
b0231,dinB,1.117,,
b2266,elaB,1.115,,
b3931,hslU,1.113,,
b0755,gpmA,1.11,,
b0729,sucD,-1.099,,
b0727,sucB,-1.086,,
b2518,ndk,-1.084,,
b3813,uvrD,1.084,,
b1847,yebF,1.079,,
b3512,gadE,1.073,,
b1018,efeO,1.071,,
b1784,yeaH,1.047,,
b0908,aroA,1.046,,
b3751,rbsB,-1.038,,
b4037,malM,-1.037,,
b2390,ypeC,1.034,,
b1101,ptsG,-1.033,,
b1175,minD,-1.027,,
b2283,nuoG,-1.024,,
b3994,thiC,1.012,,
b2286,nuoC,-1.006,,
b1818,manY,-1.002,,
b4127,yjdJ,1.001,,
b3732,atpD,-0.999,,
b3556,cspA,-0.994,,
b1140,intE,0.973,,
b1819,manZ,-0.971,,
b3343,yheL,0.97,,
b3495,uspA,0.966,,
b3509,hdeB,0.96,,
b3070,yqjH,0.959,,
b0871,poxB,0.955,,
b0557,borD,-0.954,,
b1778,msrB,-0.948,,
b1478,adhP,0.948,,
b3737,atpE,-0.945,,
b3417,malP,-0.929,,
b2282,nuoH,-0.925,,
b0775,bioB,-0.924,,
b1415,aldA,-0.922,,
b3336,bfr,-0.921,,
b3458,livK,-0.92,,
b3769,ilvM,0.913,,
b0814,ompX,0.913,,
b1654,grxD,-0.907,,
b3734,atpA,-0.907,,
b2698,recX,0.905,,
b2112,yehE,0.903,,
b1495,yddB,0.897,,
b0435,bolA,0.883,,
b2922,yggE,0.879,,
b1706,ydiU,0.875,,
b3736,atpF,-0.871,,
b1967,hchA,0.871,,
b1147,ymfL,0.869,,
b3073,patA,0.868,,
b4291,fecA,0.867,,
b1953,yodD,0.865,,
b2159,nfo,0.862,,
b4051,qorA,0.855,,
b2763,cysI,-0.853,,
b1780,yeaD,-0.849,,
b4292,fecR,0.849,,
b0809,glnQ,-0.844,,
b0720,gltA,-0.832,,
b2479,gcvR,0.83,,
b2498,upp,-0.83,,
b1661,cfa,0.828,,
b1050,yceK,0.826,,
b0733,cydA,-0.825,,
b3255,accB,-0.821,,
b0728,sucC,-0.816,,
b3098,yqjD,0.816,,
b3097,yqjC,0.811,,
b1112,bhsA,0.81,,
b3416,malQ,-0.81,,
b0171,pyrH,-0.809,,
b4320,fimH,-0.808,,
b1739,osmE,0.808,,
b4143,groL,0.803,,
b0936,ssuA,0.796,,
b0627,tatE,-0.793,,
b2323,fabB,0.789,,
b1171,ymgD,-0.789,,
b0491,ybbM,-0.789,,
b2279,nuoK,-0.788,,
b2027,cld,-0.788,,
b1418,cybB,-0.786,,
b3003,yghA,0.786,,
b0750,nadA,-0.779,,
b1705,ydiE,0.778,,
b3731,atpC,-0.776,,
b2284,nuoF,-0.776,,
b0060,polB,0.774,,
b0891,lolA,0.774,,
b1859,znuB,0.771,,
b1176,minC,-0.764,,
b2675,nrdE,0.761,,
b0233,yafO,0.76,,
b4142,groS,0.76,,
b3621,rfaC,0.756,,
b0419,yajO,0.754,,
b3955,yijP,-0.753,,
b0238,gpt,-0.75,,
b0121,speE,-0.749,,
b1974,yodB,0.747,,
b1849,purT,-0.746,,
b0782,moaB,0.744,,
b3251,mreB,0.74,,
b0126,can,0.739,,
b1015,putP,-0.739,,
b4177,purA,0.735,,
b2309,hisJ,-0.734,,
b1858,znuC,0.733,,
b2899,yqfA,0.732,,
b0882,clpA,0.732,,
b0474,adk,-0.726,,
b3877,yihP,-0.724,,
b3540,dppF,-0.723,,
b3071,yqjI,0.721,,
b3835,ubiB,0.716,,
b1174,minE,-0.714,,
b1636,pdxY,0.709,,
b1678,ynhG,0.708,,
b0163,yaeH,0.707,,
b2635,ypjK,0.705,,
b1583,ynfB,-0.699,,
b3403,pck,-0.699,,
b3099,yqjE,0.699,,
b0429,cyoD,-0.698,,
b2620,smpB,0.698,,
b0431,cyoB,-0.695,,
b2910,zapA,0.693,,
b0473,htpG,0.693,,
b3995,rsd,0.688,,
b1993,cobU,0.686,,
b2480,bcp,0.679,,
b1145,cohE,0.678,,
b3991,thiG,0.677,,
b2278,nuoL,-0.676,,
b3733,atpG,-0.675,,
b1146,croE,0.671,,
b0944,ycbF,-0.67,,
b2129,yehX,-0.668,,
b3457,livH,-0.667,,
b0811,glnH,-0.663,,
b4044,dinF,0.663,,
b2020,hisD,0.663,,
b4380,yjjI,0.662,,
b0903,pflB,0.659,,
b2008,yeeA,0.659,,
b4013,metA,0.657,,
b1166,ariR,0.653,,
b3726,pstA,-0.653,,
b2288,nuoA,-0.651,,
b1259,yciG,0.649,,
b1906,yecH,0.648,,
b1602,pntB,-0.644,,
b0471,ybaB,0.643,,
b0605,ahpC,0.642,,
b2551,glyA,0.641,,
b2025,hisF,0.641,,
b0800,ybiB,0.639,,
b1685,ydiH,0.639,,
b1844,exoX,0.639,,
b3164,pnp,-0.638,,
b3927,glpF,-0.635,,
b0821,ybiU,0.635,,
b1449,yncB,0.632,,
b1139,lit,0.631,,
b2041,rfbB,-0.629,,
b3236,mdh,-0.628,,
b0232,yafN,0.626,,
b0583,entD,0.624,,
b1820,yobD,-0.623,,
b1048,opgG,-0.622,,
b1728,ydjM,0.622,,
b3160,yhbW,0.621,,
b3738,atpB,-0.621,,
b2021,hisC,0.617,,
b0377,sbmA,0.617,,
b1833,yebS,0.616,,
b2268,rbn,-0.615,,
b1860,ruvB,0.615,,
b3993,thiE,0.614,,
b3892,fdoI,-0.611,,
b3414,nfuA,0.61,,
b3153,yhbO,0.609,,
b1782,mipA,-0.608,,
b0072,leuC,0.608,,
b4059,ssb,0.605,,
b0074,leuA,0.605,,
b2276,nuoN,-0.604,,
b3831,udp,0.603,,
b3453,ugpB,0.601,,
b4234,yjgA,0.599,,
b2504,yfgG,0.598,,
b1281,pyrF,-0.597,,
b2574,nadB,-0.597,,
b3992,thiF,0.595,,
b2587,kgtP,0.595,,
b0779,uvrB,0.594,,
b0685,ybfE,0.593,,
b1363,trkG,-0.592,,
b4401,arcA,0.592,,
b0678,nagB,0.591,,
b3067,rpoD,0.59,,
b4172,hfq,0.59,,
b1686,ydiI,-0.589,,
b4123,dcuB,-0.587,,
b3528,dctA,-0.587,,
b2702,srlA,0.586,,
b2617,smpA,0.586,,
b3962,sthA,-0.585,,
b0777,bioC,-0.585,,
b1312,ycjP,-0.584,,
b3429,glgA,0.583,,
b0860,artJ,-0.583,,
b2475,ypfJ,0.58,,
b1723,pfkB,0.579,,
b0432,cyoA,-0.579,,
b3102,yqjG,0.577,,
b0707,ybgA,0.575,,
b3359,argD,-0.575,,
b1687,ydiJ,-0.575,,
b0803,ybiI,0.575,,
b1038,csgF,0.575,,
b3498,prlC,0.574,,
b0450,glnK,-0.573,,
b0504,allS,-0.569,,
b4111,proP,0.569,,
b0785,moaE,0.566,,
b3042,yqiC,0.566,,
b3400,hslR,0.565,,
b2022,hisB,0.563,,
b0967,rlmI,-0.563,,
b2019,hisG,0.562,,
b2040,rfbD,-0.562,,
b0705,ybfL,-0.562,,
b0684,fldA,0.56,,
b2531,iscR,0.559,,
b0287,yagU,-0.558,,
b2805,fucR,-0.558,,
b3428,glgP,0.557,,
b1827,kdgR,-0.557,,
b0428,cyoE,-0.555,,
b2764,cysJ,-0.553,,
b1040,csgD,0.552,,
b2097,fbaB,0.551,,
b3867,hemN,-0.55,,
b1297,puuA,-0.55,,
b1153,ymfQ,0.549,,
b2476,purC,-0.548,,
b3472,dcrB,0.548,,
b1384,feaR,-0.548,,
b3932,hslV,0.547,,
b1952,dsrB,0.544,,
b1806,yeaY,0.541,,
b3206,npr,0.54,,
b2762,cysH,-0.539,,
b1215,kdsA,-0.538,,
b2285,nuoE,-0.536,,
b4045,yjbJ,0.536,,
b3384,trpS,0.535,,
b0603,ybdO,-0.535,,
b0050,apaG,0.534,,
b2290,yfbQ,-0.534,,
b3785,wzzE,-0.533,,
b0522,purK,-0.531,,
b1130,phoP,-0.531,,
b3454,livF,-0.531,,
b2615,nadK,0.53,,
b1251,yciI,0.528,,
b0987,gfcA,0.528,,
b1033,ghrA,-0.528,,
b3507,dctR,0.526,,
b4376,osmY,0.525,,
b1282,yciH,-0.525,,
b1264,trpE,0.524,,
b1216,chaA,-0.522,,
b3924,fpr,0.522,,
b0551,quuD,-0.522,,
b1710,btuE,0.522,,
b2150,mglB,-0.522,,
b0996,torC,-0.521,,
b2024,hisA,0.519,,
b1329,mppA,-0.517,,
b2516,rodZ,0.516,,
b1256,ompW,-0.514,,
b2280,nuoJ,-0.512,,
b3936,rpmE,-0.511,,
b3090,ygjV,-0.511,,
b2960,trmI,0.51,,
b3919,tpiA,0.509,,
b3961,oxyR,-0.508,,
b2683,ygaH,0.507,,
b2496,hda,-0.505,,
b1440,ydcS,-0.505,,
b0851,nfsA,-0.505,,
b3326,gspE,-0.504,,
b0901,ycaK,0.504,,
b2936,yggG,-0.503,,
b0078,ilvH,0.502,,
b0145,dksA,0.502,,
b0946,ycbW,0.501,,
b1835,rsmF,0.5,,
b2605,yfiB,-0.499,,
b1466,narW,-0.498,,
b2508,guaB,-0.498,,
b3268,yhdW,-0.497,,
b0894,dmsA,-0.497,,
b2840,ygeA,0.496,,
b2299,yfcD,0.496,,
b1232,purU,-0.495,,
b2834,tas,0.493,,
b1926,fliT,-0.493,,
b0852,rimK,-0.491,,
b4106,phnC,-0.491,,
b2929,yggD,-0.491,,
b1260,trpA,0.489,,
b2026,hisI,0.489,,
b0758,galT,0.489,,
b1049,opgH,-0.488,,
b2896,ygfX,-0.487,,
b0120,speD,-0.487,,
b2904,gcvH,-0.486,,
b1861,ruvA,0.484,,
b3072,aer,-0.48,,
b3845,fadA,-0.48,,
b4154,frdA,-0.479,,
b1152,jayE,0.479,,
b3567,xylG,-0.477,,
b0170,tsf,-0.477,,
b4313,fimE,-0.477,,
b0265,insA,0.475,,
b1659,ydhB,0.473,,
b0041,fixA,-0.472,,
b4033,malF,-0.471,,
b3917,sbp,0.471,,
b2606,rplS,-0.47,,
b3741,mnmG,-0.47,,
b0199,metN,0.469,,
b0161,degP,-0.468,,
b3749,rbsA,-0.468,,
b1086,rluC,-0.466,,
b0691,ybfG,0.466,,
b3739,atpI,-0.465,,
b4112,basS,-0.465,,
b3463,ftsE,0.465,,
b4336,yjiN,-0.464,,
b2000,flu,-0.464,,
b1091,fabH,0.464,,
b4062,soxS,0.463,,
b4138,dcuA,-0.463,,
b3401,hslO,0.463,,
b4097,phnK,-0.463,,
b4126,yjdI,0.462,,
b2153,folE,0.461,,
b1439,ydcR,-0.461,,
b3290,trkA,0.46,,
b2310,argT,-0.46,,
b3957,argE,0.458,,
b3487,yhiI,-0.458,,
b2660,lhgO,0.458,,
b2539,hcaF,-0.457,,
b2962,yggX,0.457,,
b1167,ymgC,0.457,,
b4108,yjdM,-0.457,,
b3920,yiiQ,0.457,,
b3592,yibF,0.456,,
b0884,infA,-0.456,,
b2599,pheA,0.455,,
b0865,ybjP,0.454,,
b3606,yibK,-0.453,,
b0489,qmcA,-0.453,,
b3209,elbB,-0.453,,
b4032,malG,-0.452,,
b2980,glcC,-0.452,,
b0759,galE,0.452,,
b3541,dppD,-0.451,,
b3504,yhiS,0.45,,
b3827,yigM,0.449,,
b4325,yjiC,-0.448,,
b2844,yqeF,-0.448,,
b1422,ydcI,-0.448,,
b3307,rpsN,-0.445,,
b3405,ompR,-0.445,,
b3010,yqhC,0.445,,
b4213,cpdB,-0.444,,
b1392,paaE,-0.443,,
b0776,bioF,-0.443,,
b1498,ydeN,-0.442,,
b0726,sucA,-0.441,,
b3674,yidF,0.441,,
b1893,insB,0.44,,
b2793,syd,0.44,,
b2344,fadL,0.44,,
b1269,rluB,-0.438,,
b2753,iap,-0.438,,
b2530,iscS,-0.438,,
b3543,dppB,-0.438,,
b3404,envZ,0.437,,
b2277,nuoM,-0.436,,
b2039,rfbA,-0.435,,
b0879,macB,-0.435,,
b4187,aidB,0.435,,
b0449,mdlB,0.434,,
b2038,rfbC,-0.433,,
b0215,dnaQ,0.432,,
b0342,lacA,-0.432,,
b1276,acnA,-0.432,,
b1177,ycgJ,0.432,,
b3106,yhaK,0.432,,
b4353,yjiX,-0.431,,
b2879,ssnA,-0.43,,
b1615,uidC,-0.429,,
b3358,yhfK,0.429,,
b3478,nikC,-0.429,,
b1263,trpD,0.428,,
b3661,nlpA,-0.428,,
b1927,amyA,0.427,,
b2742,nlpD,0.427,,
b2210,mqo,0.426,,
b3522,yhjD,0.426,,
b3519,treF,0.426,,
b4392,slt,0.425,,
