predictor,dataset,records_processed,records_total,valid_records,seed_p_low,seed_p_high,n_windows,pearson
pipeline_score,shape_ecoli_incell,4497,4497,450,0.9,0.95,1068,0.27046164802743655
pipeline_score,shape_ecoli_incell,4497,4497,450,0.95,1.0,672,0.3271113007838938
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.0,0.05,1163757,0.21135431780050404
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.05,0.1,747032,0.1544305753477017
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.1,0.15,483670,0.12776929919855956
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.15,0.2,343175,0.11743505595746256
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.2,0.25,253472,0.11396359370626818
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.25,0.3,197603,0.09447771111354292
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.3,0.35,159738,0.07698027234954671
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.35,0.4,128818,0.07882746026736341
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.4,0.45,106697,0.0580898602612381
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.45,0.5,89092,0.04432631751286584
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.5,0.55,74899,0.054269866854640865
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.55,0.6,63460,0.02604242621222149
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.6,0.65,52140,0.018574773921274965
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.65,0.7,44225,0.019575594948896758
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.7,0.75,37537,-0.01636409080607676
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.75,0.8,31214,0.030633934099884942
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.8,0.85,25102,0.030322191759989615
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.85,0.9,21044,0.02350672335634175
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.9,0.95,14332,-0.02605870853833766
mean_observed_base_rnaplfold,dms_yeast_invivo,7036,7036,4297,0.95,1.0,5874,-0.04450154570692542
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.0,0.05,6791152,0.19207674201396535
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.05,0.1,3101899,0.1196774214189043
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.1,0.15,1873308,0.10600644413594013
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.15,0.2,1275655,0.1005878517444263
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.2,0.25,930327,0.09562285045897749
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.25,0.3,712051,0.09363742363545496
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.3,0.35,562069,0.08625992734439085
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.35,0.4,453084,0.09437005114589612
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.4,0.45,369021,0.09176379501134888
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.45,0.5,303621,0.08617033763523174
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.5,0.55,254881,0.08207713528146889
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.55,0.6,211561,0.07118301267494934
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.6,0.65,179142,0.07460126664854845
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.65,0.7,149237,0.07925822355420152
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.7,0.75,123570,0.06588160038205378
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.75,0.8,106036,0.06457088541559143
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.8,0.85,87631,0.0773150619961239
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.85,0.9,68722,0.05629674544910559
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.9,0.95,49616,0.10397195359423779
mean_observed_base_rnaplfold,icshape_mouse_invivo,55203,55203,9626,0.95,1.0,22512,0.08303967540094145
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.0,0.05,191894,0.24015230712957947
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.05,0.1,59726,0.1882807794343386
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.1,0.15,30560,0.22113945495237033
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.15,0.2,19669,0.20635022657572996
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.2,0.25,13407,0.23104788736883128
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.25,0.3,10484,0.1957558617464323
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.3,0.35,7408,0.2562949343140647
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.35,0.4,6474,0.2652524356757135
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.4,0.45,5190,0.2835882938250383
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.45,0.5,3800,0.3111265333025847
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.5,0.55,3062,0.2531728168215894
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.55,0.6,3128,0.2273682030168522
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.6,0.65,2520,0.26252306241898793
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.65,0.7,2168,0.2925150275310853
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.7,0.75,1925,0.29952944795752107
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.75,0.8,1643,0.28035293612008844
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.8,0.85,1694,0.3340128522356819
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.85,0.9,1580,0.3719824692808872
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.9,0.95,1068,0.2835891648029218
mean_observed_base_rnaplfold,shape_ecoli_incell,4497,4497,450,0.95,1.0,672,0.4449789560722337
