x_start,lock_energy,scheme,ddg_pref,closure,separation,mean_separation,A_M_10,A_M_11,aug_11
260,-14.600000381469727,B-anchored,0.0,baseline,-7.62939453125e-06,2.130451370874198e-10,0.46145381704703,0.46145381740623886,0.3420310432583343
260,-14.600000381469727,B-anchored,0.0,aug_pair1,0.6596984685666891,0.1328020980034781,0.23776096380250206,0.46129985941431045,0.34210291079766536
260,-14.600000381469727,B-anchored,0.0,aug_pair2,2.0529553775387797,0.2248490623201193,0.08267139589733967,0.46063571297495176,0.3413964423339087
260,-14.600000381469727,B-anchored,0.0,aug_paired,5.909837817181627,0.21860514392609692,0.009197630098316707,0.3842644821244845,0.22911767238553404
260,-10.100000381469727,mixed,0.5,baseline,1.52587890625e-05,3.5860203695392556e-14,0.4614538174061762,0.46145381740623687,0.34203104325833183
260,-10.100000381469727,mixed,0.5,aug_pair1,0.0001983642577840783,6.828321245910818e-05,0.4611849364270987,0.46129987401563216,0.34210289669700417
260,-10.100000381469727,mixed,0.5,aug_pair2,0.0029296874996589395,0.0011037074416683224,0.4587806521043613,0.46063595005897184,0.3413964325564563
260,-10.100000381469727,mixed,0.5,aug_paired,0.785308837700172,0.16122289391478334,0.11410406835070591,0.38438730834932044,0.22919317019727056
260,-8.300000190734863,B-anchored,6.300000190734863,baseline,1.52587890625e-05,-1.7763568394002505e-15,0.46145381740623914,0.4614538174062363,0.3420310432583311
260,-8.300000190734863,B-anchored,6.300000190734863,aug_pair1,-7.629394644936838e-06,1.5342046522093256e-09,0.46129987142907564,0.4612998740114764,0.3421028967008857
260,-8.300000190734863,B-anchored,6.300000190734863,aug_pair2,7.629392995589512e-06,2.4907755635794615e-08,0.4606359081232406,0.46063594999175517,0.3413964325591472
260,-8.300000190734863,B-anchored,6.300000190734863,aug_paired,3.814613870645189e-05,1.2947772281113323e-05,0.3843655674343404,0.38438727346732715,0.22919314942755142
260,-7.0,mixed,0.3000001907348633,baseline,1.52587890625e-05,-5.551115123125783e-16,0.4614538174062395,0.46145381740623836,0.3420310432583335
260,-7.0,mixed,0.3000001907348633,aug_pair1,-7.629394530361822e-06,3.164135620181696e-13,0.4612998740167888,0.4612998740173215,0.3421028966953892
260,-7.0,mixed,0.3000001907348633,aug_pair2,7.62939453125e-06,5.153877324914902e-12,0.4606359500776925,0.46063595008635627,0.3413964325553375
260,-7.0,mixed,0.3000001907348633,aug_paired,0.0,2.6803975705647076e-09,0.3843873180514874,0.3843873225450588,0.2291931788526356
260,-6.199999809265137,B-anchored,8.40000057220459,baseline,0.0,-1.2212453270876722e-15,0.4614538174062395,0.4614538174062375,0.3420310432583325
260,-6.199999809265137,B-anchored,8.40000057220459,aug_pair1,7.62939453125e-06,3.808064974464287e-14,0.46129987401725653,0.4612998740173207,0.34210289669539345
260,-6.199999809265137,B-anchored,8.40000057220459,aug_pair2,7.62939453125e-06,6.301625887772389e-13,0.46063595008525815,0.4606359500863173,0.3413964325553405
260,-6.199999809265137,B-anchored,8.40000057220459,aug_paired,-4.2721381987576024e-13,3.2807245808896823e-10,0.3843873219743659,0.38438732252420005,0.22919317884012966
260,-5.199999809265137,mixed,1.5,baseline,0.0,-1.1102230246251565e-16,0.4614538174062386,0.46145381740623836,0.3420310432583335
260,-5.199999809265137,mixed,1.5,aug_pair1,-7.629394530361822e-06,-3.3306690738754696e-16,0.46129987401732314,0.4612998740173225,0.34210289669539035
260,-5.199999809265137,mixed,1.5,aug_pair2,7.62939453125e-06,2.55351295663786e-15,0.4606359500863544,0.46063595008635844,0.34139643255534
260,-5.199999809265137,mixed,1.5,aug_paired,0.0,1.4593881658697683e-12,0.38438732254268704,0.3843873225451335,0.22919317885268195
260,-4.800000190734863,B-anchored,9.800000190734863,baseline,-7.62939453125e-06,-8.881784197001252e-16,0.46145381740623886,0.46145381740623725,0.3420310432583323
260,-4.800000190734863,B-anchored,9.800000190734863,aug_pair1,7.62939453125e-06,1.3988810110276972e-14,0.4612998740172971,0.4612998740173205,0.3421028966953919
260,-4.800000190734863,B-anchored,9.800000190734863,aug_pair2,0.0,2.3370194668359545e-13,0.46063595008593544,0.46063595008632646,0.3413964325553393
260,-4.800000190734863,B-anchored,9.800000190734863,aug_paired,-8.810729923425242e-13,1.222397738587233e-10,0.38438732232544437,0.38438732252934726,0.22919317884312454
260,-3.299999952316284,A-anchored,6.300000429153442,baseline,1.52587890625e-05,-9.992007221626409e-16,0.461453817406239,0.46145381740623725,0.3420310432583323
260,-3.299999952316284,A-anchored,6.300000429153442,aug_pair1,-7.629394530361822e-06,-1.5543122344752192e-15,0.46129987401732353,0.4612998740173211,0.34210289669538857
260,-3.299999952316284,A-anchored,6.300000429153442,aug_pair2,7.62939453125e-06,-1.1102230246251565e-16,0.46063595008635844,0.4606359500863583,0.34139643255533986
