x_start,len_x,scheme,lock_energy,separation_closed,A_M_11_closed,aug_11_closed,locked_00,engaged_A_00,engaged_B_00,free_00,other_00,locked_10,engaged_A_10,engaged_B_10,free_10,other_10,locked_11,engaged_A_11,engaged_B_11,free_11,other_11
260,8,B-anchored,-14.600000381469727,5.909837817181627,0.3842644821244845,0.22911767238553404,0.9948904070481169,0.0,0.0,0.004323936313356008,0.0007856566385270741,0.2542240901766913,0.7372617294146453,0.0,0.008490168563950504,2.4011844712984454e-05,1.2534955149936992e-12,0.9991961549748494,4.659700082637765e-11,0.0008032423893127721,6.025879874110851e-07
260,8,mixed,-9.199999809265137,-4.2721381987576024e-13,0.38438732252151947,0.2291931788385203,0.9947118963415269,0.0,0.0,0.004439625935228925,0.0008484777232442287,1.2564473752664286e-12,0.999472556574887,0.0,0.0005274434140328937,9.82379455560789e-12,1.9083547680941324e-21,0.9994725566367709,3.742793186899512e-15,0.0005274433531545497,1.0070763667435756e-11
260,8,B-anchored,-8.100000381469727,-1.1334577720845118e-10,0.3843872952611121,0.22919316224290912,0.9820568446605091,0.0,0.0,0.013625530390397642,0.004317624949093213,6.431223058724275e-11,0.9994678399837063,0.0,0.000532065504858209,9.444712338602113e-08,1.7889352449719941e-22,0.9994679546566378,1.1245683200712895e-15,0.0005320450768228902,2.665380693933628e-10
260,8,mixed,-6.400000095367432,0.0,0.38438732254514035,0.22919317885268545,0.9946964726634331,0.0,0.0,0.004436433147059812,0.0008670941895070894,1.3977635724567493e-15,0.9994725569076129,0.0,0.0005274430923836448,1.9012569296705806e-15,2.402631547457225e-24,0.9994725569077324,1.6837325742359586e-19,0.0005274430922665857,1.1518563880486e-15
260,8,mixed,-5.5,0.0,0.38438732254513397,0.22919317885268253,0.9936555092048388,0.0,0.0,0.004870383493927322,0.0014741073012338596,7.442821328385227e-19,0.9994725569061118,0.0,0.000527443093887095,1.124100812432971e-15,3.625973043314847e-25,0.9994725569061316,2.27659210536013e-20,0.0005274430938672081,1.1518563880486e-15
260,8,mixed,-4.800000190734863,0.0,0.3843873225451048,0.22919317885266263,0.43826479447122474,0.0,0.0,0.20469301013769436,0.35704219539108095,3.3379016791599975e-16,0.9994725568904417,0.0,0.0005274431082836345,1.2743417432403703e-12,1.680015568126969e-27,0.999472556907853,2.3631876737898233e-20,0.0005274430921458073,1.2073675392798577e-15
260,8,A-anchored,-3.299999952316284,0.0,0.3843873225451398,0.22919317885268445,0.9079792468971142,0.0,0.0,0.045658142441223015,0.04636261066166275,1.1805535575278461e-21,0.9994725569078847,0.0,0.0005274430921141104,1.1379786002407855e-15,9.958447752154858e-30,0.9994725569078885,1.1810502394483663e-23,0.0005274430921104467,1.1379786002407855e-15
117,7,B-anchored,-18.399999618530273,11.998072565191194,0.11111686930071452,0.0017176218225073425,0.9986308476353543,0.0,0.0,0.0013300300343440969,3.912233030159814e-05,0.4179359191243726,0.5814080064701973,0.0,0.0006552082194002226,8.661860298048163e-07,2.3939852906661654e-07,0.9911212125475692,5.3647933056677615e-08,0.005045042462903112,0.0038334519430655023
117,7,mixed,-14.300000190734863,6.605735739795023,0.1135743794734448,0.0017487747168077143,0.9985515530972192,0.0,0.0,0.0013652958781869323,8.315102459394945e-05,6.490032616683026e-05,0.9998480183064393,0.0,8.706661148989119e-05,1.4755903959035826e-08,6.062588228867852e-18,0.9999052012247498,2.915882214600261e-13,9.479814580088635e-05,6.291578052192953e-10
117,7,mixed,-11.800000190734863,0.0005035400390633882,0.11357879018940703,0.0017488286849558499,0.9953963516332418,0.0,0.0,0.0024513346987070006,0.0021523136680513372,1.170645005163233e-12,0.999907407450543,0.0,9.259254761056252e-05,6.758561964050256e-13,3.5023325714260965e-21,0.99990741183728,1.6919685411360942e-18,9.258816266433101e-05,5.551115123125783e-14
117,7,mixed,-9.0,0.0,0.11357879805803438,0.0017488287838040388,0.7236568114478923,0.0,0.0,0.07413657183081514,0.2022066167212926,8.085452382480018e-15,0.9999821341326195,0.0,1.7865867356065784e-05,1.636785944875945e-14,2.4167419063942926e-23,0.9999821341326364,5.374633276863975e-16,1.7865867358920644e-05,4.2981491381916776e-15
117,7,B-anchored,-5.400000095367432,0.0034408569335653283,0.11357879119994818,0.0017488286972341394,0.955111393243345,0.0,0.0,0.012818725686072976,0.032069881070582014,7.827470064160237e-12,0.9999074105962713,0.0,9.258938929027469e-05,6.610981603419727e-12,4.437635370997519e-28,0.9999074112912835,2.5758212390007612e-18,9.258870364230771e-05,5.0741633117468155e-12
117,7,mixed,-2.5,-7.62939453125e-06,0.11357879805060762,0.0017488287837098178,0.8563125956707884,0.0,0.0,0.04168337506421777,0.10200402926499377,3.9685808497874105e-18,0.9999818742002027,0.0,1.8125799797081526e-05,1.9032394707859825e-16,3.568736750072578e-30,0.9999818742002152,3.057191382134521e-20,1.8125799784504286e-05,2.220446049250313e-16
117,7,mixed,2.799999952316284,-7.62939453125e-06,0.1135787980505498,0.001748828783709781,0.008041556793386953,0.0,0.0,0.2931088435322459,0.6988495996743671,2.661125354227755e-20,0.9999818742004966,0.0,1.812579950322135e-05,1.9032394707859825e-16,1.1095830804555473e-34,0.9999818742005129,4.852251109740815e-22,1.8125799487043815e-05,7.930164461608261e-17
