switch_number,on_off,aug_index,p_open_off,p_open_on,dG_open_off,dG_open_on,separation,A_M_off,A_M_on,A_M_gain,mean_wrank_off,mean_wrank_on,mean_wrank_gain,aug_off,aug_on,aug_gain,narrow_sep,switch_len
4,264.6,50,2.1815498187459284e-11,0.01796657880662344,15.12968921661377,2.4771423339843754,12.652546882629395,0.1606648929958686,0.7145339540802295,0.5538690610843608,0.460055471097954,0.69652591341478,0.23647044231682596,0.9159411505444188,0.7263224639451571,-0.18961868659926173,5.077600479125977,92
10,192.4,50,3.946174673229723e-11,0.021914980420720747,14.764389038085938,2.354705810546875,12.409683227539062,0.16217899404069225,0.8820728803594833,0.719893886318791,0.4573539666164929,0.8588342254161965,0.40148025879970356,0.8954320336697711,0.8739484309013132,-0.021483602768457843,6.464044570922852,92
14,153.4,50,2.5802246731354844e-12,0.028979114237036654,16.4453763961792,2.1825027465820312,14.262873649597168,0.16653469432934032,0.7306783897240798,0.5641436953947395,0.4654906142660719,0.7995494355705045,0.3340588213044326,0.9804612228389914,0.46964692572602423,-0.5108142971129672,6.649202346801758,92
42,44.7,50,3.396323537259627e-08,0.09352040340023822,10.59947681427002,1.460418701171875,9.139058113098145,0.17194118497577693,0.8382822409249078,0.6663410559491308,0.4699565802648306,0.828682217501546,0.3587256372367154,0.9805815432408269,0.6712331887043731,-0.3093483545364538,7.753451347351074,92
46,40.5,50,4.386942784559515e-12,0.02702187628224928,16.118260383605957,2.2256011962890625,13.892659187316895,0.16182724758229347,0.7774043106179117,0.6155770630356182,0.46832091303204443,0.7904556248189161,0.32213471178687164,0.9542565298301167,0.6266852089347031,-0.3275713208954135,9.461565017700195,92
48,39.1,50,1.7623733642716657e-11,0.008214022742518418,15.26119613647461,2.9595184326171875,12.301677703857422,0.17256570024830561,0.8013591954904293,0.6287934952421237,0.46281170117943043,0.7844169876660151,0.32160528648658465,0.9781641893832633,0.6243585277101601,-0.35380566167310323,5.572488784790039,92
55,33.9,50,6.290037818650683e-14,0.0014761745759025683,18.734440803527832,4.017364501953125,14.717076301574707,0.17218606565190978,0.7245619797694949,0.5523759141175851,0.4588402278536416,0.6958998861618256,0.23705965830818404,0.9746190945343406,0.6225181727449901,-0.3521009217893505,6.353515625,92
56,33.8,50,5.731327200424292e-14,0.0014761745759025683,18.791770935058594,4.017364501953125,14.774406433105469,0.1738966024859316,0.7245619797694932,0.5506653772835616,0.47341372260297787,0.6958998861618251,0.2224861635588472,0.9746191060703943,0.6225181727449912,-0.35210093332540304,6.353507995605469,92
59,32.2,50,1.581056833041942e-11,0.079588509926422,15.328108787536621,1.5598373413085938,13.768271446228027,0.16038018993263536,0.8147997000598193,0.6544195101271839,0.4633106038967482,0.8490176757556016,0.3857070718588534,0.8949024552470192,0.8822480744643585,-0.012654380782660679,7.691617965698242,92
63,29.3,50,9.412308637152692e-12,0.003779285769259931,15.647769927978517,3.4379730224609375,12.20979690551758,0.1601012187538293,0.6732389772540465,0.5131377585002171,0.4587526094210916,0.7787818174861546,0.320029208065063,0.9168436146015854,0.6489152615296091,-0.26792835307197627,6.87066650390625,92
64,29.1,50,1.7334396522245593e-11,0.0025724841571585235,15.271398544311523,3.675048828125,11.596349716186523,0.17227947901279567,0.6840596710580721,0.5117801920452765,0.48727808701376074,0.6730140189521111,0.18573593193835036,0.9829388744726728,0.6997383896655703,-0.28320048480710247,4.9804840087890625,92
68,24.8,50,1.560840395847467e-14,0.0014761745759025683,19.593433380126953,4.017364501953125,15.576068878173828,0.171951539071557,0.7245619797694943,0.5526104406979373,0.46422312052409,0.6958998861618254,0.23167676563773543,0.9746191371375991,0.6225181727449905,-0.3521009643926085,6.353525161743164,92
70,24.1,50,6.396767254323551e-15,0.008364137036368856,20.14320182800293,2.9483566284179688,17.19484519958496,0.16479903834968013,0.7019384953674337,0.5371394570177536,0.4645329914893001,0.7996086966212349,0.3350757051319348,0.954351355000251,0.8073165239506536,-0.14703483104959747,10.717586517333986,92
72,23.3,50,3.4809939063530906e-13,0.008184385530708476,17.67995548248291,2.9617462158203125,14.718209266662598,0.1655913585392624,0.7881423853977798,0.6225510268585174,0.49266934253686745,0.7875200493225228,0.2948507067856554,0.9781721772289349,0.5601207738848086,-0.41805140334412627,6.610553741455078,92
88,17.7,50,2.8146124151307175e-12,0.02517188896692064,16.391788482666016,2.2693099975585938,14.122478485107422,0.15022545005388702,0.7258526154524527,0.5756271653985657,0.4615637821225871,0.7968167154163789,0.3352529332937918,0.8316830235395923,0.7898329408688646,-0.04185008267072776,6.840738296508789,92
101,13.1,50,2.889086078305575e-14,0.0013454930606997542,19.21395492553711,4.074493408203125,15.139461517333984,0.17188245972476515,0.7348475727498834,0.5629651130251183,0.45333162765361285,0.7087157392899223,0.2553841116363094,0.9745960677613917,0.5684102807749172,-0.40618578698647456,6.267189025878906,92
112,9.4,50,4.268133050767238e-11,0.002894481923693315,14.71605110168457,3.6023635864257812,11.113687515258789,0.16893338788143594,0.7037045568879292,0.5347711690064932,0.46344749712280686,0.6723341237203978,0.20888662659759094,0.9781690959059476,0.7859692632832257,-0.1921998326227219,6.734287261962891,92
117,8.5,50,1.8982849490350934e-14,0.0011902896762808733,19.472803115844727,4.150032043457031,15.322771072387695,0.16702923172034165,0.7381907240273703,0.5711614923070286,0.49534087502494395,0.7436932009031169,0.2483523258781729,0.9746345573338412,0.5785221360965703,-0.39611242123727086,7.0955963134765625,92
121,7.4,50,2.214060086562554e-12,0.009393268331814501,16.539703369140625,2.8768386840820312,13.662864685058594,0.1654385680332085,0.5481165792639311,0.3826780112307226,0.4650436176680209,0.5766129521245964,0.11156933445657552,0.9440351273840509,0.5234225854930745,-0.4206125418909764,5.916433334350586,92
124,6.4,50,8.66567221502473e-14,0.0014761745759025683,18.536970138549805,4.017364501953125,14.51960563659668,0.1717845312827214,0.7245619797694948,0.5527774484867733,0.4630712619528583,0.6958998861618255,0.23282862420896722,0.974619142599802,0.6225181727449901,-0.3521009698548119,6.353525161743164,92
134,3.3,50,2.468003344888438e-09,0.027563779712559806,12.215389251708984,2.2133636474609375,10.002025604248047,0.16738502622927467,0.7804732719032429,0.6130882456739682,0.4674455038240456,0.8089586793033304,0.34151317547928484,0.9349633145649353,0.9412180452516906,0.006254730686755305,9.266038894653319,92
145,2.0,50,4.168959796841063e-13,0.00044560635404741896,17.56880283355713,4.755577087402344,12.813225746154785,0.15154532494640657,0.673438394470744,0.5218930695243374,0.45783540473329654,0.762419398328389,0.3045839935950925,0.901329893373019,0.4360061215915063,-0.46532377178151274,7.862819671630859,92
151,1.5,50,4.4846344711050033e-14,0.0013447437597458617,18.94294834136963,4.074836730957031,14.868111610412598,0.17195465931728954,0.7380211167370037,0.5660664574197141,0.4620902015522016,0.7095332443106839,0.24744304275848228,0.9746191203223398,0.5428133825442163,-0.4318057377781235,6.173051834106445,92
159,1.1,50,8.302357648550768e-15,0.0007983982665926737,19.982498168945312,4.396156311035156,15.586341857910156,0.1671693219390441,0.744921147513195,0.577751825574151,0.47671985233758357,0.686759662535089,0.21003981019750545,0.9742370946196335,0.9120305749922474,-0.0622065196273861,6.347841262817383,92
1,292.0,50,8.380335746400555e-13,0.001117342084842387,17.138474464416504,4.1890106201171875,12.949463844299316,0.12874625136873089,0.7749253222406571,0.6461790708719263,0.42295299727721364,0.8574318353295504,0.4344788380523367,0.6841266278969189,0.8214934925017895,0.13736686460487058,7.172382354736328,92
2,279.6,50,2.6417637376919453e-10,0.012952977447231789,13.5925874710083,2.6787948608398438,10.913792610168457,0.16919378726116455,0.7664051625411145,0.5972113752799499,0.4848198919654365,0.8357612198670603,0.3509413279016238,0.9571537980429059,0.8739813439019756,-0.08317245414093033,6.415956497192383,92
3,265.3,50,1.020799318049194e-12,0.005177482675075103,17.016884803771973,3.2439651489257812,13.772919654846191,0.15845603524330923,0.8310450384125508,0.6725890031692416,0.4808315902854029,0.8366955562287449,0.355863965943342,0.8953570891177386,0.8481295871327627,-0.04722750198497594,7.112482070922852,92
5,253.0,50,3.377365274000216e-10,0.004969688060824855,13.44118881225586,3.2692108154296875,10.171977996826172,0.16822353052240033,0.7537623801592596,0.5855388496368592,0.43897459692722407,0.8368268660762973,0.39785226914907323,0.9352188473514801,0.8897709135210006,-0.045447933830479514,6.454191207885742,92
6,219.8,50,1.5574778746149975e-13,0.0005524683497380731,18.175631523132324,4.6230926513671875,13.552538871765137,0.15292471219493983,0.6347927426843429,0.4818680304894031,0.4867303343388557,0.7777489333347678,0.2910185989959121,0.9039969005594067,0.40478707590567337,-0.49920982465373337,4.544130325317383,92
7,213.3,50,2.7917936468474832e-11,0.22313180369359492,14.977674484252931,0.9244766235351562,14.053197860717775,0.1682187869624694,0.9066966041266201,0.7384778171641507,0.4573967810354816,0.9057927148194991,0.4483959337840175,0.9139734092052084,0.9175247613735417,0.003551352168333244,5.466020584106445,92
8,200.8,50,2.3231878533970437e-08,0.07149171073304675,10.833526611328125,1.6259613037109375,9.207565307617188,0.1712315815808673,0.8189295429129563,0.647697961332089,0.4637605398047572,0.8187867525153337,0.35502621271057655,0.9774138125895798,0.9126648118176384,-0.06474900077194146,6.26123046875,92
9,194.4,50,2.140028481259971e-14,0.0010347309462818664,19.39892578125,4.236351013183594,15.162574768066406,0.16855516058204809,0.610693916182397,0.4421387556003489,0.46019179037808755,0.7169016285907523,0.2567098382126648,0.9590272295137848,0.37306202082550816,-0.5859652086882767,3.953622817993163,92
11,181.2,50,8.318361166702194e-13,0.09035231840123442,17.143049240112305,1.481658935546875,15.66139030456543,0.12281398219797102,0.8541919730696729,0.7313779908717019,0.4576989289847725,0.8532447825390145,0.395545853554242,0.6439054548487131,0.7783278197234211,0.13442236487470804,7.545623779296875,92
