1036 pairs survive stage 1

=== x@260 len_x=8 B-anchored lock -14.6 · AUG bulge 3x3 ===
  variant                sep  sep-10  meanSep  A_M11  A_M10  AUG11   dG11   P_open11
  sec_upper3            0.01   14.23    0.005  0.585  0.575  0.525   4.83   3.94e-04
  sec_upper6            0.01   14.76    0.005  0.585  0.575  0.525   4.83   3.94e-04
  stabiliser            0.00   14.05    0.002  0.585  0.581  0.525   4.83   3.94e-04

156 rows -> C:\Users\Dell\source\repos\cernal_software\src\engine\gates\notebooks\toehold_and\results\modifications_v2.csv

Per-variant medians across every base candidate:
  variant                 sep   sep-10   meanSep   A_M11   A_M10   AUG11
  baseline               0.00    13.50     0.000   0.506   0.506   0.525
  upper3                 0.02    12.20     0.008   0.537   0.421   0.424
  upper6                 2.11    11.77     0.088   0.441   0.118   0.623
  upper6_au              1.44    12.28     0.118   0.307   0.095   0.143
  aug_paired             6.77    21.66     0.189   0.404   0.007   0.444
  aug_closed_au          7.53    20.05     0.243   0.415   0.007   0.453
  aug_closed_gc          7.03    20.23     0.184   0.413   0.007   0.453
  aug_pair2              2.05    17.04     0.134   0.461   0.269   0.502
  aug_pair1              0.59    14.22     0.133   0.506   0.404   0.527
  stop_before_bulge      8.58    15.80     0.043   0.076   0.002   0.006
  sec_upper3             0.00    13.50     0.000   0.506   0.506   0.525
  sec_upper6             0.00    13.60     0.000   0.506   0.506   0.525
  stabiliser             0.00    13.50     0.000   0.506   0.505   0.525
