x_start,len_x,variant,lock_energy,toehold_dG,free_xstar_00,free_xstar_01,toehold_eff_00,toehold_eff_01,log10_rate_advantage,r2_star_free_00,separation,mean_separation,A_M_10,A_M_11
260,8,baseline,-14.600000381469727,-9.800000190734863,0.004323936313356008,0.2839468773703653,0.034591490506848066,2.2715750189629222,2.236983528456074,0.4056106622424069,-7.62939453125e-06,2.130451370874198e-10,0.46145381704703,0.46145381740623886
260,8,aug_paired,-14.600000381469727,-9.800000190734863,0.00432393625434653,0.2839468553912587,0.03459149003477224,2.2715748431300695,2.2369833530952974,0.40561066206965646,5.909837817181627,0.21860514392609692,0.009197630098316707,0.3842644821244845
117,7,baseline,-18.399999618530273,-15.0,0.0013300300343440969,0.32151588851553264,0.009310210240408678,2.2506112196087287,2.24130100936832,0.42558382344387985,2.288818359375e-05,8.006113854763797e-06,0.7029670571722462,0.7029841573897448
117,7,aug_paired,-18.399999618530273,-15.0,0.0013326963506982306,0.3213970820991646,0.009328874454887615,2.2497795746941525,2.240450700239265,0.4255348403891323,11.998072565191194,0.06260146965841196,0.006613308168993181,0.11111686930071452
448,7,baseline,-20.5,-11.5,0.005712883831983714,0.573763015327576,0.039990186823886,4.016341107293032,3.976350920469146,0.5305789606075796,4.577634317115553e-05,1.2675333612488515e-05,0.5055494609268502,0.5055824280301092
448,7,aug_paired,-20.5,-11.5,0.0057128838326979525,0.5737630153473339,0.039990186828885665,4.016341107431337,3.9763509206024517,0.5305789606280275,6.768869604045619,0.18948909349564896,0.004324400111387881,0.4794642320669862
522,7,baseline,-23.100000381469727,-15.0,0.0016690216119724338,0.14116759325285755,0.011683151283807036,0.9881731527700028,0.9764900014861958,0.305303519597187,5.340576171875e-05,2.0638783282400652e-05,0.41628326450516817,0.41631618572038337
522,7,aug_paired,-23.100000381469727,-15.0,0.0016690216111484896,0.14116759323852876,0.011683151278039428,0.9881731526697013,0.9764900013916619,0.30530351958706414,2.417182917708459,0.24420784751975227,0.012016697470552569,0.404044875115615
176,7,baseline,-23.600000381469727,-11.300000190734863,0.0005967761440202216,0.4943514171417544,0.004177433008141551,3.4604599199922808,3.456282486984139,0.5142545953709498,0.0004043579101278283,1.949398716644124e-05,0.41366295154310995,0.41385566765688697
176,7,aug_paired,-23.600000381469727,-11.300000190734863,0.0005967672597603858,0.4943514165902147,0.004177370818322701,3.460459916131503,3.4562825453131802,0.5142552582866878,10.428495704062357,0.0978232900416634,0.006030332714721353,0.4109900535885702
620,7,baseline,-18.299999237060547,-11.300000190734863,0.0017893909048981424,0.5067002740547472,0.012525736334286997,3.54690191838323,3.534376182048943,0.6489025899033587,7.629394530805911e-06,2.4565421363753615e-08,0.6950884481349657,0.6950885174005773
620,7,aug_paired,-18.299999237060547,-11.300000190734863,0.0017895063376175096,0.5067002741452016,0.012526544363322567,3.546901919016411,3.5343753746530884,0.6490346710118446,4.99227685200583,0.11681615000875756,0.002330470977096081,0.2916421265236746
281,7,baseline,-16.5,-11.300000190734863,0.0006672129183431677,0.6397436589088245,0.004670490428402174,4.478205612361771,4.473535121933369,0.5001175337373199,7.62939453125e-06,-0.011784907206159934,0.3076693981300338,0.3076719341335179
281,7,aug_paired,-16.5,-11.300000190734863,0.0006672129177439487,0.6397436620588098,0.004670490424207641,4.478205634411669,4.473535143987461,0.5001175339119016,10.156936345878364,0.062215292050863846,0.006276814370079795,0.301467624815824
485,7,baseline,-25.0,-11.300000190734863,0.0009087842673180761,0.417800401010763,0.006361489871226533,2.924602807075341,2.9182413172041146,0.5671383482514734,7.62939453125e-06,4.162699479559606e-07,0.4063567123393178,0.40635797478220076
485,7,aug_paired,-25.0,-11.300000190734863,0.0009087842282058231,0.41777588488479594,0.0063614895974407615,2.9244311941935717,2.918069704596131,0.5671383483241822,10.499474974148228,0.15570934089348965,0.005791043411559671,0.3876798857397518
566,7,baseline,-20.700000762939453,-11.300000190734863,0.0024130225371984553,0.5350412451698502,0.016891157760389186,3.745288716188951,3.7283975584285622,0.5236961266274358,0.01290130615234375,0.005281898120875761,0.5747409881630658,0.5851478859830724
566,7,aug_paired,-20.700000762939453,-11.300000190734863,0.002413022547957674,0.5350412546135992,0.01689115783570372,3.7452887822951944,3.7283976244594905,0.5236961269573049,10.359219818740968,0.00683440702340854,0.014316544963563264,0.027449468673362218
269,7,baseline,-18.799999237060547,-9.199999809265137,0.0017088791694375635,0.583845253252275,0.011962154186062945,4.086916772765925,4.074954618579862,0.4526815285491806,0.0003509497302047748,9.043334352420995e-05,0.4627130690104005,0.46293684022964915
269,7,aug_paired,-18.799999237060547,-9.199999809265137,0.0017088791694436065,0.5838452518700153,0.011962154186105245,4.086916763090107,4.074954608904002,0.4526815285495216,7.30836925473551,-0.001563580595935199,0.006010153171307338,0.0035586970121612347
515,7,baseline,-14.399999618530273,-9.199999809265137,0.0010471982498189147,0.3082066535953704,0.007330387748732403,2.157446575167593,2.1501161874188606,0.5722696226507985,7.629394530361822e-06,1.2145112674444292e-06,0.520803734738582,0.5208061306084751
515,7,aug_paired,-14.399999618530273,-9.199999809265137,0.001047197869596918,0.3063670186773456,0.007330385087178426,2.144569130741419,2.1372387456542405,0.5722696384424579,4.233444213364379,0.2687791779258841,0.006811822810939067,0.5170129393418516
394,7,baseline,-15.399999618530273,-6.900000095367432,0.0031235351664760896,0.46448202547360956,0.021864746165332627,3.2513741783152668,3.2295094321499342,0.4138781788026137,1.525878852248752e-05,2.0462416033817377e-06,0.4979835494317931,0.4979868858487678
394,7,aug_paired,-15.399999618530273,-6.900000095367432,0.0031235315369850802,0.46448208852470135,0.02186472075889556,3.2513746196729096,3.229509898914014,0.41387818954009326,4.623092374061256,0.02904592862754074,0.014662853442563135,0.06307386511040351
