gene_id,gene_symbol,log2fc,pvalue,padj
YPL033C,SRL4,7.4,3.09167544446809e-124,
YLR307C-A,,6.7,1.02355833844268e-35,
YPR151C,SUE1,6.1,1.78916754180928e-47,
YEL039C,CYC7,5.8,3.23762529867912e-57,
tA(AGC)F,,5.7,1.99766428001314e-16,
YFR032C,RRT5,-5.7,2.59148417207859e-113,
snR59,,-5.6,7.3230398206918e-30,
YDR119W-A,COX26,5.4,5.69665083601128e-20,
YER024W,YAT2,5.3,0.0,
tH(GUG)G1,,-5.1,1.75877523254396e-17,
YJL225C,,-5.1,7.02603932156335e-17,
YPL080C,,-5.1,1.38972310362039e-69,
YPL198W,RPL7B,-5.1,3.73113717231602e-133,
YCL026C-A,FRM2,5.0,1.76529156068263e-108,
YCL074W,,5.0,4.89910223255015e-12,
YDR399W,HPT1,-5.0,0.0,
YHR022C,,5.0,9.8936943705123e-77,
YOR121C,,-5.0,2.52523185334989e-28,
YGR055W,MUP1,-4.9,0.0,
YMR119W-A,,-4.9,5.67908025935647e-32,
YAL018C,LDS1,4.8,3.39373670568688e-11,
YHR071C-A,,4.8,4.41132614813968e-11,
snR128,,-4.7,1.15459030792058e-20,
snR24,,-4.7,3.00318679083904e-30,
YDR077W,SED1,4.7,0.0,
YER175C,TMT1,4.7,0.0,
YKR091W,SRL3,4.7,0.0,
snR39,,-4.6,4.44723997500899e-89,
snR61,,-4.6,1.38672438645182e-30,
YHR021W-A,ECM12,4.6,4.28671441838681e-33,
YJR009C,TDH2,-4.6,0.0,
YOR293C-A,,-4.6,1.26232023967504e-12,
HRA1,,4.5,1.02669552776442e-08,
YBR047W,FMP23,4.5,1.60819889862602e-153,
YCR013C,,-4.5,1.83381454577499e-25,
YMR107W,SPG4,4.5,4.00283905640798e-15,
YOL155W-A,,-4.5,2.2623783445871e-16,
YPR078C,,4.5,1.33038539885706e-40,
YLL066C,,-4.4,4.81907842057496e-21,
YOR100C,CRC1,4.4,7.81592857754621e-89,
YOR314W,,-4.4,2.22015110996018e-15,
snR18,,-4.3,6.63117480741008e-83,
snR44,,-4.3,4.92509353347676e-110,
snR54,,-4.3,3.75623571603843e-14,
YKL001C,MET14,-4.3,0.0,
YMR096W,SNZ1,4.3,0.0,
YMR195W,ICY1,4.3,0.0,
YOL086C,ADH1,-4.3,0.0,
YGR248W,SOL4,4.2,2.85534467904512e-58,
YLR342W-A,,-4.2,1.80652693573224e-39,
YLR466W,YRF1-4,-4.2,1.43100021003259e-18,
YAL037C-A,,-4.1,9.11275849333665e-43,
YBR046C,ZTA1,4.1,4.12653637758163e-268,
YDL085W,NDE2,4.1,1.91589098412536e-94,
YOR392W,,4.1,1.68361598838547e-08,
YBR126W-A,MEO1,4.0,7.02798687523816e-08,
YGL030W,RPL30,-4.0,0.0,
YLL061W,MMP1,-4.0,0.0,
YLR053C,,4.0,6.61230643158228e-113,
YPL130W,SPO19,-4.0,2.41028085564113e-58,
tV(AAC)M2,,-3.9,4.35663671130239e-11,
