gene_id,gene_symbol,log2fc,pvalue,padj
YMR169C,,7.4,0.0,
YDR536W,,7.0,0.0,
YGR052W,,6.9,0.0,
YHR087W,,6.7,0.0,
YGR088W,CTT1,6.6,0.0,
YOL150C,,6.6,8.32155176303937e-97,
YOL151W,,6.3,0.0,
ENSRNA049609035,,6.1,2.56941189363006e-15,
YER150W,,5.8,0.0,
YNL289W,PCL1,-5.7,4.93640432384353e-255,
YER070W,RNR1,-5.5,1.33345915894556e-270,
YOL084W,,5.5,0.0,
YJL107C,,5.4,4.66437030982544e-190,
YJL108C,,5.3,4.3911336646501e-217,
YBR116C,,5.1,1.36062837627795e-159,
YDL223C,,5.1,0.0,
YGR043C,,5.1,0.0,
YBR117C,,4.9,1.00911079284743e-122,
YBR294W,SUL1,-4.9,0.0,
YDL214C,,4.9,1.62035408969968e-208,
YDL227C,,-4.9,3.80797816795761e-183,
YDL022W,GPD1,4.8,1.01716513221241e-163,
YDL222C,,4.8,0.0,
YEL040W,UTR2,-4.8,1.49891099698957e-150,
YIL082W-A,,-4.8,2.68817451931692e-20,
YJR115W,,4.8,2.4097391081189e-148,
YCL018W,,-4.7,0.0,
YDR524C-B,,-4.7,5.17902379532522e-193,
YHR033W,,4.7,2.26710634570083e-122,
YBL039C,,-4.6,9.66493983216828e-117,
YDL003W,MCD1,-4.6,5.98615182079357e-112,
YDR343C,,-4.6,3.39314607343835e-135,
YIL053W,RHR2,4.6,3.09691175029419e-184,
YOR161C,,4.6,0.0,
YDL023C,YDL023C,4.5,8.05229841526174e-95,
YDR074W,TPS2,4.5,1.33896902837765e-211,
YDR524W-C,YDR524W-C,-4.5,9.27696519504461e-152,
YDR534C,,4.5,6.20699250877695e-117,
YER001W,,-4.5,2.95825247854338e-114,
YER062C,HOR2,4.5,8.33064075255871e-289,
YNL195C,,4.5,0.0,
YOR310C,NOP58,-4.5,5.16240255377684e-112,
YKL120W,,-4.4,3.19328849005597e-103,
YMR324C,,4.4,5.04341515858484e-09,
YNL300W,,-4.4,3.47121955393099e-104,
YIR017W-A,,4.3,1.63840026106358e-15,
YKL106C-A,,4.3,3.4194421994884e-15,
YML128C,,4.3,0.0,
YML131W,,4.3,1.62800580072082e-83,
YMR307W,GAS1,-4.3,0.0,
YDL014W,NOP1,-4.2,1.61480329095866e-221,
YDL204W,,4.2,0.0,
YDR040C,ENA1,4.2,0.0,
YER056C,FCY2,-4.2,2.9657260867664e-213,
YLR249W,YEF3,-4.2,1.57031737042134e-159,
YLR303W,MET17,-4.2,8.88643150069959e-160,
YLR355C,,-4.2,0.0,
YPR035W,,-4.2,4.24187706237376e-196,
YAL025C,,-4.1,3.45619748598799e-81,
YMR108W,ILV2,-4.1,1.1203006510919e-204,
YOR108W,,-4.1,4.27369082658437e-134,
YOR309C,,-4.1,1.05441112835753e-28,
YPL093W,,-4.1,1.05338591210378e-168,
YPR009W,,-4.1,1.72849626184586e-77,
YDL063C,,-4.0,3.85735835381477e-63,
YGR108W,CLB1,-4.0,8.08857109233701e-131,
YGR243W,,4.0,2.34091131066243e-30,
YHR139C,,4.0,4.42504387378155e-184,
YHR149C,,-4.0,1.5597415063489e-119,
YJL200C,,-4.0,3.27959476542004e-123,
YOR095C,,-4.0,3.73242555586542e-255,
ENSRNA049607866,,3.9,8.77218437288589e-06,
YDR399W,HPT1,-3.9,3.97475255987302e-108,
YER073W,,-3.9,5.57547255755719e-157,
YGR236C,,3.9,2.11185546620611e-35,
YHR066W,,-3.9,5.87175210437659e-62,
YHR095W,,3.9,1.11479710349053e-41,
YHR208W,BAT1,-3.9,2.72025482808902e-155,
YJL158C,CIS3,-3.9,2.3742155037586e-286,
YKL109W,,-3.9,8.46125793743785e-107,
YLR180W,SAM1,-3.9,2.96823122833758e-118,
YLR372W,SUR4,-3.9,1.02475572970831e-213,
YML004C,,3.9,9.74786958852819e-159,
YNL194C,,3.9,1.5603154970338e-275,
YNR053C,NOG2,-3.9,5.01393257530865e-40,
YOR028C,CIN5,3.9,2.79023190248477e-124,
YOR375C,GDH1,-3.9,2.31932500771545e-51,
YPL026C,SKS1,-3.9,2.60017052550374e-101,
YCL036W,GFD2,-3.8,6.45188515986341e-53,
YGR159C,NSR1,-3.8,7.98988723799668e-71,
YGR256W,,3.8,2.7708412525265e-105,
YHR104W,,3.8,1.08008341891525e-137,
YLR197W,NOP56,-3.8,1.42903131856919e-116,
YLR252W,,3.8,7.48198001872824e-32,
YML070W,,3.8,1.44144337324842e-303,
YMR229C,,-3.8,1.5706932130142e-97,
YNL174W,,-3.8,4.40994418608962e-11,
YNL175C,,-3.8,5.85138773318467e-47,
YOL007C,,-3.8,3.99542799611707e-102,
YOR341W,RPA190,-3.8,4.04194240326043e-135,
YAL067C,,-3.7,3.96438686670692e-185,
YCR057C,PWP2,-3.7,6.69878143488875e-85,
YDL228C,,-3.7,5.9348097734906e-59,
YDR299W,,-3.7,1.83325145319444e-97,
YDR398W,,-3.7,3.09478492170315e-90,
YDR449C,,-3.7,8.41293596155662e-37,
YGR160W,,-3.7,3.62793045419901e-26,
YGR248W,,3.7,7.73748876383991e-111,
YIL162W,,3.7,1.16144872085165e-284,
YLL008W,,-3.7,2.8825334802622e-64,
YLL012W,,-3.7,3.10067878320054e-84,
YLR251W,,3.7,5.2805949942751e-23,
YMR090W,,3.7,8.61654050896188e-164,
YNL061W,NOP2,-3.7,8.40883242243487e-130,
YNL248C,RPA49,-3.7,1.232397303332e-104,
YNR034W-A,,3.7,1.32858453115129e-11,
YOL077C,,-3.7,3.83624185162312e-59,
YOL124C,,-3.7,9.56864716226795e-46,
YDL229W,SSB1,-3.6,3.13573897287487e-79,
YGL255W,,-3.6,1.63325414490886e-74,
YJR010W,,-3.6,1.34393886714599e-151,
YKL029C,,-3.6,4.6061494504089e-161,
YML054C,,3.6,9.94947699654705e-227,
YMR173W-A,,3.6,1.14596816541359e-137,
YNL132W,,-3.6,6.65656760844014e-85,
YPL012W,,-3.6,1.55432179672528e-84,
YBR183W,YPC1,3.5,1.61975942812849e-98,
YDL167C,,-3.5,1.81287931066999e-80,
YDR070C,,3.5,2.01441313161731e-230,
YDR234W,LYS4,-3.5,9.14406432310627e-109,
YDR502C,SAM2,-3.5,2.03591279711929e-178,
YER067C-A,,3.5,8.93582209695656e-90,
YER067W,,3.5,6.217408779761e-69,
YER131W,RPS26B,-3.5,1.37308290965032e-219,
YLR175W,,-3.5,1.79906177198282e-179,
YML100W,,3.5,3.30440843227795e-164,
YMR136W,,-3.5,8.57005993339063e-123,
YMR199W,,-3.5,4.65144871553894e-144,
YCR072C,,-3.4,3.32384245514293e-34,
YDR133C,,-3.4,3.27211979771054e-153,
YDR134C,,-3.4,1.99238537779196e-162,
YER054C,,3.4,3.3965235660698e-145,
YGR049W,,3.4,1.27413874428197e-244,
YGR128C,,-3.4,6.94529849045197e-84,
YGR138C,,-3.4,5.04031177748388e-85,
YJR152W,DAL5,-3.4,7.69827679845757e-97,
YLR222C,,-3.4,9.38038155731606e-42,
YMR175W,,3.4,8.74130243654007e-11,
