gene_id,gene_symbol,log2fc,pvalue,padj
YBR245C,ISW1,-14.0,2.74506116015319e-26,
tF(GAA)B,,-4.8,0.775771103820331,
YFR057W,,4.6,0.0433141156327995,
tK(CUU)E2,,4.5,1.0,
YBL108C-A,PAU9,-4.4,1.0,
tK(CUU)D1,,4.1,0.69228565883735,
RDN5-6,,3.9,1.0,
RUF5-2,,-3.6,1.0,
YDR543C,,3.6,1.0,
YER172C-A,,3.6,0.538387985718908,
tA(AGC)J,,3.5,1.0,
tR(UCU)E,,-3.5,1.0,
tK(CUU)J,,-3.3,1.0,
tI(AAU)I2,,3.2,1.0,
tT(CGU)K,TRT2,3.2,1.0,
YBR040W,FIG1,3.1,0.0022346494372977,
YDR194W-A,,3.1,1.0,
tT(AGU)I2,,3.0,1.0,
Q0143,,-2.8,1.0,
RDN5-2,,-2.8,1.0,
tD(GUC)B,,2.8,1.0,
tS(AGA)L,,2.8,1.0,
YOR072W-B,,-2.7,1.0,
ZOD1,,2.7,1.0,
tG(GCC)J1,,2.7,1.0,
tQ(UUG)D1,,2.7,1.0,
YGR273C,,2.6,1.0,
tD(GUC)K,,-2.6,1.0,
tI(AAU)P2,,-2.6,1.0,
tV(AAC)M3,,-2.6,1.0,
tV(UAC)B,,-2.6,1.0,
tY(GUA)F2,SUP6,2.6,1.0,
YCL026C-A,FRM2,2.5,1.0,
YER138C,,-2.5,1.0,
YGR291C,,2.5,1.0,
YOR214C,SPR2,2.5,0.0423550634742307,
tQ(CUG)M,CDC65,2.5,1.0,
tW(CCA)G1,,2.5,1.0,
RUF22,,2.4,1.0,
YML047C,PRM6,2.4,0.0157693952053075,
YOL024W,,2.4,0.0129245227235316,
tI(AAU)D,,2.4,1.0,
tV(CAC)H,,-2.4,1.0,
YJL086C,,2.3,1.0,
YKR032W,,2.3,1.0,
YNL318C,HXT14,2.3,0.000205392075557649,
YOL166C,,2.3,1.0,
tA(AGC)K2,,-2.3,1.0,
tF(GAA)D,,-2.3,1.0,
tW(CCA)M,,2.2,1.0,
Q0285,RPM1,2.1,1.0,
YGR114C,,2.1,1.0,
YLR157W-D,,-2.1,1.0,
YOR237W,HES1,2.1,0.0022346494372977,
tD(GUC)L1,,-2.1,1.0,
tG(GCC)F2,,-2.1,1.0,
YJL182C,,-2.0,1.0,
YLR158C,ASP3-3,2.0,1.0,
YMR046W-A,,2.0,1.0,
YNL067W-B,,-2.0,1.0,
tA(UGC)G,,-2.0,1.0,
tC(GCA)G,,-2.0,1.0,
tD(GUC)J4,,-2.0,1.0,
tR(CCU)J,HSX1,-2.0,1.0,
