gene_id,gene_symbol,log2fc,pvalue,padj
YMR321C,,0.9,1.1584989963707e-06,
YNL117W,,0.9,1.79858984169947e-06,
YOL084W,,-0.9,5.10802592454272e-14,
YOL160W,,0.9,9.2243543187049e-05,
YOR120W,GCY1,-0.9,2.76595625950771e-24,
YOR374W,ALD4,-0.9,7.48781747761939e-29,
YPL171C,OYE3,-0.9,2.06626024219072e-17,
YPL240C,HSP82,-0.9,4.20316141300675e-50,
YPR145C-A,,0.9,1.0835144003984e-12,
YPR149W,NCE102,-0.9,1.26760910093445e-25,
YAL039C,CYC3,0.8,4.90614184242977e-14,
YAR020C,,-0.8,8.86162597737969e-05,
YBR085C-A,,-0.8,1.79612929315597e-26,
YBR200W-A,,0.8,0.00307955142616027,
YDL204W,,-0.8,4.44009661821364e-05,
YDR034W-B,,0.8,7.99784848782998e-15,
YDR171W,,-0.8,1.19631270596859e-16,
YDR222W,,-0.8,3.52464694187682e-27,
YDR247W,,-0.8,1.85276827511441e-16,
YDR384C,,-0.8,1.68453185380801e-23,
YDR523C,,0.8,5.64358196506825e-12,
YEL071W,,0.8,7.75681623175792e-17,
YER024W,,0.8,8.44745034626664e-20,
YER054C,,-0.8,1.27467636192165e-15,
YFL062W,,0.8,1.80936395032452e-05,
YGL259W,,0.8,6.114032590717e-05,
YGR008C,,-0.8,9.85287991433196e-15,
YGR059W,,0.8,1.54838357618281e-07,
YGR138C,,0.8,2.32454724579842e-10,
YGR289C,MAL11,0.8,2.55241587342037e-29,
YHL032C,,-0.8,6.53177202710336e-40,
YHL043W,,-0.8,1.65070992221418e-21,
YHR216W,IMD2,0.8,3.5836543582478e-26,
YKL043W,,-0.8,3.59014825922622e-22,
YKL065W-A,,-0.8,6.95997330864123e-05,
YLL026W,,-0.8,1.16109324751621e-26,
YLR044C,,-0.8,4.57408644303675e-51,
YLR136C,TIS11,0.8,2.27820550735001e-13,
YLR194C,,0.8,3.32215170320659e-25,
YLR237W,THI7,-0.8,1.86209173773157e-25,
YLR284C,,-0.8,1.4041354930719e-37,
YLR297W,,-0.8,2.07012638351566e-13,
YLR349W,,-0.8,1.96824338520478e-05,
YMR147W,,-0.8,3.69319600196724e-15,
YMR175W-A,,-0.8,0.00101017035756304,
YMR265C,,0.8,5.51679682556465e-23,
YMR304C-A,,0.8,2.38269212416783e-19,
YMR315W-A,,0.8,0.00105711097358131,
YMR316W,,0.8,8.98987069017522e-22,
YMR320W,,0.8,1.39631340993348e-07,
YNL009W,,-0.8,5.19557696842696e-26,
YNL013C,,-0.8,0.00228832848651532,
YNL014W,HEF3,-0.8,7.4105160585073e-18,
YNL134C,,-0.8,2.05015455344341e-23,
YNL274C,,-0.8,9.84550922523344e-25,
YNR073C,,0.8,4.24214295970225e-07,
YOL085C,,0.8,0.000817159887235223,
YOL136C,PFK27,0.8,1.66863764973016e-16,
YOR047C,STD1,0.8,2.7996597355328e-10,
YOR203W,,0.8,1.1677969155759e-08,
YOR237W,HES1,0.8,3.57327247761724e-07,
YPL265W,,0.8,1.21656386963763e-15,
YAL062W,GDH3,-0.7,9.23017421427297e-11,
YAR029W,,0.7,0.00490265157880253,
YAR053W,,0.7,0.000368148626660703,
YBL015W,,0.7,7.77638945385269e-05,
YBR177C,,0.7,6.36765813353838e-20,
YCL026C-A,FRM2,0.7,0.000947972651944488,
YCR025C,,0.7,0.000160835602792477,
YDL114W,,0.7,0.00149575953946591,
YDL124W,,-0.7,1.4377734763454e-15,
YDL222C,,-0.7,6.31222338990855e-07,
YDR033W,,-0.7,2.21889137163171e-21,
YDR221W,,-0.7,2.23409428221276e-26,
YDR248C,,-0.7,3.23748294259519e-19,
YDR540C,,0.7,9.74107842345602e-05,
YER011W,TIR1,0.7,7.65663918700282e-05,
YER044C-A,,0.7,2.83940954235516e-05,
YER065C,,0.7,7.36936674892295e-12,
YER188W,,0.7,2.14988080224346e-05,
YFL013W-A,,-0.7,1.99939559945139e-05,
YFL055W,,-0.7,2.49695321505334e-15,
YFL067W,,0.7,0.000781108115852259,
YFR020W,,-0.7,5.6807434424645e-18,
YFR055W,,0.7,5.13397151836794e-09,
YGL028C,,-0.7,7.0461038224045e-28,
YGL080W,,-0.7,3.88883564091534e-24,
YGR050C,,0.7,2.30192229263875e-11,
YGR069W,,0.7,0.00510800627354617,
YGR177C,,0.7,2.23733002717987e-11,
YGR189C,,0.7,8.98987069017522e-22,
YGR243W,,-0.7,6.11989914859094e-32,
YHR022C,,0.7,0.000140217904629,
YHR104W,,-0.7,8.70416840205754e-13,
YHR163W,,-0.7,2.53496376478714e-17,
YHR174W,ENO2,-0.7,1.21516436164284e-23,
YHR208W,BAT1,0.7,9.05894530572063e-17,
YHR210C,,0.7,6.83304798662548e-06,
YHR214W,,0.7,0.0070296320307612,
YIL057C,,-0.7,8.80388104164328e-23,
YIL100C-A,,0.7,0.0100421438873868,
YIL111W,,0.7,1.19366247805864e-11,
YIL170W,,0.7,0.000175623556996718,
YIL175W,,0.7,0.00644273836800314,
YJL171C,,0.7,7.99811255549859e-17,
YJL216C,,-0.7,7.76259204906705e-18,
YJR008W,,-0.7,5.33887174016217e-24,
YJR112W,,0.7,1.48680785490122e-09,
YKR039W,,-0.7,3.9165627694912e-14,
YKR076W,ECM4,-0.7,2.34216867965143e-13,
YLR174W,,-0.7,1.36028886514484e-37,
YLR216C,CPR6,-0.7,1.6265472198398e-26,
YLR414C,,0.7,5.28353930458544e-24,
YLR415C,,0.7,0.00250705518442751,
YML054C-A,,0.7,0.0034189978050387,
YMR056C,,0.7,3.59745670743993e-24,
YMR101C,,0.7,0.000505846582754417,
YMR118C,,-0.7,1.88247364834606e-16,
YMR182W-A,,0.7,0.00841134364784362,
YMR194C-A,,0.7,0.000949059095916323,
YNL034W,,-0.7,0.00130919228551563,
YNR068C,,-0.7,2.41374192386838e-09,
YNR075W,,0.7,1.54117766378676e-08,
YOL046C,,0.7,0.00563162712413273,
YOL101C,,-0.7,1.81387443072799e-13,
YOL151W,,-0.7,3.86510505534776e-16,
YOL164W-A,,0.7,6.14061446902302e-05,
YPL147W,PXA1,-0.7,3.70825867601387e-20,
YPL163C,,0.7,1.65070992221418e-21,
LSR1,LSR1,-0.6,2.97381246163751e-07,
YAL061W,,-0.6,6.70933077688185e-10,
YAR030C,,0.6,0.00740424212210832,
YBL042C,,-0.6,1.44807119404982e-12,
YBR025C,,-0.6,8.83652814058538e-25,
YBR040W,,0.6,0.00660793579369212,
YBR067C,,-0.6,2.73710454095054e-15,
YBR104W,,0.6,4.47996756772441e-12,
YBR178W,,0.6,0.00451567924077704,
YBR230C,,-0.6,5.55119016213241e-23,
YCR107W,,0.6,0.0146747508141447,
YDL020C,RPN4,-0.6,6.6509106927898e-22,
YDL114W-A,,0.6,0.0273282944203974,
YDL223C,,-0.6,1.15717205895649e-08,
YDR074W,TPS2,-0.6,7.93121584078448e-10,
YDR155C,CPR1,-0.6,1.78180150980043e-20,
YDR185C,UPS3,0.6,1.94846526223674e-06,
YDR219C,,-0.6,1.5188628546234e-13,
YDR220C,,-0.6,0.00255214774272311,
YDR224C,HTB1,-0.6,1.7817999743278e-26,
YDR226W,ADK1,-0.6,1.39137093589325e-18,
YDR227W,SIR4,-0.6,1.14575536269943e-13,
YDR230W,,-0.6,6.85812404356401e-08,
YDR236C,,-0.6,1.19631270596859e-16,
YDR241W,,-0.6,2.09483390131229e-06,
YDR246W,,-0.6,1.251292038199e-15,
YDR343C,,-0.6,0.0135909688106775,
YDR344C,,0.6,0.00777785597973849,
YDR368W,,-0.6,4.09006824330871e-11,
YDR509W,,0.6,0.0162209674418697,
YDR526C,,0.6,0.035925122491363,
YEL039C,CYC7,0.6,4.92021081976869e-06,
YEL059W,HHY1,0.6,0.00585288744363514,
YEL070W,,0.6,7.66703408771195e-05,
YER015W,FAA2,-0.6,5.11348822545208e-28,
YER028C,,0.6,0.00215566372368085,
YER038W-A,,-0.6,0.00728010905776736,
YER053C-A,,-0.6,3.11050343763294e-09,
YER145C,,0.6,3.14652243208438e-14,
YFL011W,,0.6,3.55384086415157e-08,
YGL009C,,0.6,6.28549769358155e-24,
YGL121C,,-0.6,3.75435496225215e-14,
YGL184C,,-0.6,1.57682109555635e-15,
YGL258W,,0.6,0.00439144995992779,
YGR067C,,-0.6,7.64947888004996e-18,
YGR176W,,0.6,0.0167345053010712,
YGR205W,,-0.6,8.0927891498813e-12,
YHR021W-A,,0.6,0.00393514541941611,
YHR140W,,-0.6,6.4395049840621e-09,
YHR162W,,0.6,3.82351108458428e-17,
YHR184W,SSP1,0.6,9.7352574482049e-09,
YIL012W,,0.6,0.0207587899672307,
YIL066C,RNR3,-0.6,1.24796889015508e-05,
YIL101C,,-0.6,5.85760979240981e-09,
YIL141W,,0.6,0.00204172027272664,
YIL171W,YIL171W,0.6,0.0170028081740278,
YIR039C,,0.6,2.4399106358426e-11,
YJL015C,,-0.6,0.0107492576949637,
YJL034W,KAR2,-0.6,5.11348822545208e-28,
YJL077C,,0.6,1.60772354519347e-09,
YJL105W,,0.6,2.11688093623092e-09,
YJL144W,,-0.6,1.14858961767547e-09,
YJR019C,TES1,-0.6,5.25271655580325e-11,
YJR048W,CYC1,0.6,3.49567460726837e-14,
YJR094C,,0.6,8.27537715983501e-07,
YKL037W,,0.6,0.000192990647941922,
YKL044W,,-0.6,2.98002056016339e-06,
YKL162C-A,,0.6,3.62992237930018e-05,
YKL188C,PXA2,-0.6,1.26785631602528e-14,
YKL218C,,0.6,5.91418615921816e-11,
YKR013W,PRY2,0.6,5.60563817118015e-10,
YKR053C,YSR3,0.6,5.26226531244462e-09,
YKR098C,,0.6,4.4157264590801e-11,
YLR037C,PAU23,-0.6,3.28548960331953e-05,
YLR108C,,-0.6,1.46085398382257e-08,
YLR111W,,0.6,0.0210074468126422,
YLR179C,,0.6,1.34667322717664e-10,
YLR281C,,0.6,0.000137764816110781,
YLR332W,MID2,0.6,8.25933007072685e-14,
YML128C,,-0.6,7.4700997354184e-09,
YMR082C,,0.6,0.0252871046514432,
YMR169C,,-0.6,3.23869648169966e-05,
YMR266W,,0.6,6.26553779921788e-23,
YNL012W,,-0.6,1.86637594586777e-14,
YNL179C,YNL179C,-0.6,1.96824338520478e-05,
YNL180C,RHO5,-0.6,3.38127699554612e-12,
YNL269W,,0.6,0.00358785895861155,
YNL289W,PCL1,0.6,6.819999793032e-13,
YNL336W,,0.6,9.07950864538638e-10,
YNR041C,,0.6,3.02970713497067e-11,
YNR056C,,-0.6,9.4418000321736e-11,
YNR060W,,-0.6,4.37400518623018e-12,
YNR064C,,0.6,4.42503430632841e-06,
YNR075C-A,,0.6,0.0277447998531877,
YOL015W,,0.6,0.00100151344550456,
YOL016C,,0.6,4.05092816259e-16,
YOL032W,,-0.6,4.46416112262568e-13,
YOL038C-A,,-0.6,0.000424428238285935,
YOR007C,,-0.6,1.75599469268642e-22,
YOR051C,ETT1,0.6,1.73531813354032e-15,
YOR121C,,-0.6,8.44147059722421e-05,
YOR152C,,-0.6,1.27666127100402e-12,
YOR161C,,-0.6,2.48624029227291e-10,
YOR178C,,-0.6,1.43791792933621e-09,
YOR230W,,-0.6,2.52242429314125e-10,
YOR384W,,0.6,9.86917365488994e-10,
YPL186C,,-0.6,1.27218152922569e-10,
YPR098C,,-0.6,5.21859735301656e-15,
YPR158W,,-0.6,3.719087841189e-08,
YPR192W,,0.6,1.74478881788555e-07,
YAL005C,SSA1,-0.5,1.79801614089301e-10,
YAR023C,,-0.5,0.00189351814346219,
YAR068W,,0.5,0.0500454382232469,
YBL012C,,0.5,0.0283764231662576,
YBL043W,,-0.5,2.34525801137102e-08,
YBL044W,,0.5,0.0724421765746152,
YBL055C,YBL055C,0.5,1.83406767475562e-09,
YBL067C,,-0.5,1.16680190646276e-09,
YBL094C,,0.5,0.0450525807874525,
YBR005W,RCR1,0.5,9.41074611321766e-10,
YBR009C,,-0.5,1.34248043516111e-14,
YBR050C,,-0.5,7.53808778119776e-10,
YBR069C,TAT1,0.5,0.000258236124089201,
YBR101C,,-0.5,2.42817146280735e-18,
YBR203W,,-0.5,5.18505277192319e-09,
YBR285W,,-0.5,2.82314130342223e-07,
YCL001W,,-0.5,8.44853226779236e-09,
YCL012C,YCL012C,-0.5,1.69499887228147e-05,
YCR004C,,-0.5,1.55615256624459e-16,
YCR014C,POL4,-0.5,4.74368293657498e-08,
