gene_id,gene_symbol,log2fc,pvalue,padj
ENSG00000115414,FN1,8.8,6.42071947857583e-138,
ENSG00000063438,AHRR,8.2,2.13213920663683e-113,
ENSG00000100311,PDGFB,8.2,6.84669109808745e-60,
ENSG00000225107,,8.2,1.77143326848923e-26,
ENSG00000250033,SLC7A11-AS1,8.0,4.59123640830772e-29,
ENSG00000003436,TFPI,7.7,8.59967993189975e-64,
ENSG00000087245,MMP2,7.6,2.91816925999298e-31,
ENSG00000151012,SLC7A11,7.5,7.92258956887007e-23,
ENSG00000280780,JAKMIP2-AS1,7.4,4.77806552667167e-17,
ENSG00000019186,CYP24A1,7.3,8.74007316921907e-20,
ENSG00000114251,WNT5A,7.2,2.69898562406144e-58,
ENSG00000233818,,7.2,1.28882845523301e-17,
ENSG00000132170,PPARG,7.1,1.6252508339536e-78,
ENSG00000268316,,7.1,2.33859054366538e-18,
ENSG00000176049,JAKMIP2,7.0,2.25881559731856e-24,
ENSG00000250645,,7.0,1.64459654688943e-16,
ENSG00000125740,FOSB,-6.9,3.88237683671668e-88,
ENSG00000141655,TNFRSF11A,6.9,1.41047299542869e-53,
ENSG00000181631,P2RY13,-6.9,5.48785286367077e-96,
ENSG00000234191,LINC01283,6.9,5.48484667859895e-16,
ENSG00000107130,NCS1,6.8,5.0543333772408e-30,
ENSG00000140859,KIFC3,6.8,2.80081452317662e-116,
ENSG00000162493,PDPN,6.8,8.22255438275956e-15,
ENSG00000179593,ALOX15B,-6.8,6.33674565568429e-14,
ENSG00000258083,OR9A4,6.8,3.13987649914383e-36,
ENSG00000106178,CCL24,6.7,4.41518365681648e-17,
ENSG00000010278,CD9,6.6,1.15927141775667e-77,
ENSG00000154736,ADAMTS5,-6.6,9.05297016373966e-15,
ENSG00000187474,FPR3,6.6,3.60758198353901e-92,
ENSG00000232277,SLC30A6P1,6.6,3.72719941330029e-14,
ENSG00000168329,CX3CR1,-6.5,4.70615443717647e-25,
ENSG00000169439,SDC2,6.5,7.93035227091366e-27,
ENSG00000169902,TPST1,6.5,1.80202920642226e-93,
ENSG00000224063,,6.5,3.30980980725809e-13,
ENSG00000235531,MSC-AS1,6.5,3.22590408726525e-77,
ENSG00000258227,CLEC5A,6.5,4.42029241161123e-82,
ENSG00000019144,PHLDB1,6.4,1.65662218364781e-83,
ENSG00000039560,RAI14,6.4,1.4919038933124e-10,
ENSG00000107719,PALD1,6.4,1.37466804043806e-20,
ENSG00000113657,DPYSL3,6.4,3.27963147018993e-32,
ENSG00000136378,ADAMTS7,6.4,8.05120064841735e-13,
ENSG00000104055,TGM5,6.3,6.30850195640364e-16,
ENSG00000111344,RASAL1,6.3,3.47383606151554e-16,
ENSG00000136160,EDNRB,6.3,1.89011944470768e-17,
ENSG00000150637,CD226,6.3,6.95978030291498e-76,
ENSG00000171517,LPAR3,6.3,6.37744987405377e-16,
ENSG00000196139,AKR1C3,6.3,4.9768523606799e-40,
ENSG00000230573,LINC02639,-6.3,1.7375514269048e-13,
ENSG00000245688,,6.3,1.31889259874011e-17,
ENSG00000266378,,6.3,1.84262758026641e-28,
ENSG00000100558,PLEK2,6.2,1.96135938490036e-33,
ENSG00000125430,HS3ST3B1,6.2,6.01547314428847e-49,
ENSG00000132854,KANK4,6.2,2.49044297634132e-11,
ENSG00000138821,SLC39A8,6.2,2.46747914443484e-131,
ENSG00000164920,OSR2,-6.2,3.90854653351471e-18,
ENSG00000179362,HMGN2P46,6.2,7.50956095947015e-59,
ENSG00000276216,,-6.2,1.21940516319513e-39,
ENSG00000128274,A4GALT,6.1,2.63954172188787e-23,
