gene_id,gene_symbol,log2fc,pvalue,padj
ENSG00000263503,MAPK8IP1P2,-23.1,0.00613402959179577,
ENSG00000280683,LINC01242,-21.8,0.062828360921023,
ENSG00000198744,MTCO3P12,-20.9,,
ENSG00000118113,MMP8,10.0,8.38041931778982e-08,
ENSG00000137869,CYP19A1,9.3,0.000157405572268537,
ENSG00000102837,OLFM4,9.1,8.40026345156656e-06,
ENSG00000163710,PCOLCE2,9.0,0.000157405572268537,
ENSG00000227292,,8.2,0.0019745406015627,
ENSG00000204936,CD177,7.8,3.24397326683028e-05,
ENSG00000275063,,-7.6,0.0581529830012407,
ENSG00000227770,RPL7P12,7.4,0.00634410492126133,
ENSG00000289445,,7.4,0.0536653838544335,
ENSG00000126890,CTAG2,7.2,,
ENSG00000253931,,7.2,0.0103330646849045,
ENSG00000104918,RETN,7.1,5.19957915698441e-06,
ENSG00000237609,LINC02943,7.1,0.00421699512720329,
ENSG00000269228,RPS27AP19,7.1,0.00335930513948683,
ENSG00000157150,TIMP4,7.0,0.0319280678833174,
ENSG00000156140,ADAMTS3,6.8,0.00153224238675836,
ENSG00000003137,CYP26B1,6.7,0.174106989025297,
ENSG00000242986,RPL21P99,6.7,0.129356942980609,
ENSG00000289605,,-6.7,,
ENSG00000227790,SPECC1P1,-6.6,0.0520248682682188,
ENSG00000255998,LINC02824,-6.5,0.0148643907592141,
ENSG00000262539,,-6.5,0.176757108097555,
ENSG00000240950,RPL8P3,6.4,0.0664403607463328,
ENSG00000124092,CTCFL,6.3,0.0361295761319026,
ENSG00000275954,TBC1D3F,6.3,0.151359555823655,
ENSG00000287088,,-6.2,,
ENSG00000009950,MLXIPL,6.1,,
ENSG00000137675,MMP27,6.1,,
ENSG00000182013,PNMA8A,-6.1,,
ENSG00000231158,PTP4A1P1,6.1,0.0851606549591159,
ENSG00000288266,,6.1,0.025744458429882,
ENSG00000163958,ZDHHC19,6.0,0.00188258270798305,
ENSG00000228219,NPM1P30,-6.0,0.0736949292141921,
ENSG00000283537,,-6.0,0.0528537713371386,
ENSG00000139572,GPR84,5.9,0.000271849041077619,
ENSG00000148346,LCN2,5.9,0.000465164495677614,
ENSG00000163081,CCDC140,5.9,0.0074033924839653,
ENSG00000163221,S100A12,5.9,1.7697389939047e-05,
ENSG00000167680,SEMA6B,5.9,0.00134780722743746,
ENSG00000184566,,5.9,6.21201953145849e-05,
ENSG00000273006,,5.9,0.00992919091527527,
ENSG00000207797,MIR187,5.8,,
ENSG00000232837,LINC01700,5.8,0.0808901862212554,
ENSG00000249881,,5.8,0.0736949292141921,
ENSG00000261628,,-5.8,0.0140467800854126,
ENSG00000267453,CLEC4OP,-5.8,0.0478817531861153,
ENSG00000267797,NRBF2P1,5.8,,
ENSG00000269711,,5.8,0.00340054157993695,
ENSG00000275649,,-5.8,0.0763558679098231,
ENSG00000124097,HMGB1P1,5.7,0.0316553213049283,
ENSG00000176046,NUPR1,5.7,0.000730604214372517,
ENSG00000186583,SPATC1,5.7,6.38729568038748e-05,
ENSG00000230731,LINC02938,-5.7,,
ENSG00000274441,,5.7,0.0135553134002115,
ENSG00000288658,RNF228,5.7,0.0111349729012409,
ENSG00000095627,TDRD1,-5.6,0.000465164495677614,
ENSG00000183019,MCEMP1,5.6,6.21052253688598e-05,
ENSG00000235888,LINC02940,5.6,0.0129728471367929,
ENSG00000249173,LINC01093,5.6,0.00793147479570137,
ENSG00000254338,MAFA-AS1,5.6,0.0411441438641683,
ENSG00000259447,,5.6,0.0298540749905528,
ENSG00000271495,,5.6,0.0103085365611449,
ENSG00000285630,,5.6,,
ENSG00000288767,,5.6,0.0270618618821957,
ENSG00000145864,GABRB2,-5.5,,
ENSG00000159189,C1QC,5.5,6.38729568038748e-05,
ENSG00000176771,NCKAP5,-5.5,,
ENSG00000201186,RNU4-33P,5.5,,
ENSG00000222335,Y_RNA,5.5,0.00827704984279059,
ENSG00000224038,,-5.5,,
ENSG00000258100,LINC02823,-5.5,,
ENSG00000277350,,-5.5,,
ENSG00000284600,,-5.5,,
ENSG00000152766,ANKRD22,5.4,0.00270780364850149,
ENSG00000163873,GRIK3,-5.4,,
ENSG00000254602,MIR130AHG,5.4,0.025956924503123,
ENSG00000263926,MIR4462,-5.4,,
ENSG00000289197,,5.4,0.021834995162667,
ENSG00000034239,CLXN,-5.3,,
ENSG00000206172,HBA1,-5.3,,
ENSG00000229858,,5.3,0.0231422249288147,
ENSG00000265641,MIR3929,5.3,,
ENSG00000271475,,5.3,,
ENSG00000272595,OR10AH1P,-5.3,0.0435134601400681,
ENSG00000286530,,-5.3,,
ENSG00000288717,,-5.3,,
ENSG00000289692,,5.3,,
ENSG00000143546,S100A8,5.2,6.21052253688598e-05,
ENSG00000163638,ADAMTS9,5.2,,
ENSG00000257017,HP,5.2,0.000389058013976326,
ENSG00000265531,FCGR1CP,5.2,6.38729568038748e-05,
ENSG00000281655,,5.2,,
ENSG00000284715,,5.2,0.00823060916025644,
ENSG00000164485,IL22RA2,5.1,,
ENSG00000177138,FAM9B,-5.1,,
